gate,check,result,evidence
G3/G4/G7,D7 canary threshold '>= 0' -> '> 0' (spec),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,E1 duplicate normative concept declared twice,PASS,evidence/probe_batch3.json
G3/G4/G7,E2 concept pointing at a non-existent path,PASS,evidence/probe_batch3.json
G3/G4/G7,E3 concept with no locator (no single source),PASS,evidence/probe_batch3.json
G3/G4/G7,E4 VACUITY: fields list emptied entirely,PASS,evidence/probe_batch3.json
G3/G4/G7,E5 a new blanket exempt class silently excuses everything,FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,E6 declaration-site: unattributed digest added to map PROSE (must be swept),PASS,evidence/probe_batch3.json
G3/G4/G7,E7 declaration-site: unattributed digest hidden inside the fields block,FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,E8 deprecated literal disarmed via must_not_appear_as_requirement=false,FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,F1 attestation file removed,PASS,evidence/probe_batch3.json
G3/G4/G7,F2 attestation disagrees with declared acceptance state,PASS,evidence/probe_batch3.json
G3/G4/G7,F3 seal claims a post-audit state via a second status field,PASS,evidence/probe_batch3.json
G3/G4/G7,F4 inventory carries a status field,PASS,evidence/probe_batch3.json
G3/G4/G7,F5 attestation redirected to a file INSIDE the candidate namespace,FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G5/G7,G1 POSITIVE CONTROL: unmodified V6 copy passes,PASS,evidence/probe_batch4.json
G5/G7,G2 declared mirror emptied of its value (cohort digest deleted from spec),FAIL - EVASION SUCCEEDED,evidence/probe_batch4.json
G5/G7,G3 phantom mirror declared on a file that never held the value,FAIL - EVASION SUCCEEDED,evidence/probe_batch4.json
G5/G7,G4 hex concept removes itself from the sweep (scannable_literals emptied),PASS,evidence/probe_batch4.json
G5/G7,G5 concept 'value' drifts while scannable_literals stays correct,FAIL - EVASION SUCCEEDED,evidence/probe_batch4.json
G5/G7,G6 gate_claim prose inflated (self-description not verified),FAIL - EVASION SUCCEEDED,evidence/probe_batch4.json
G5/G7,G7 historical_provenance class widened to cover EXECUTION_SPEC.md,FAIL - EVASION SUCCEEDED,evidence/probe_batch4.json
G3,concepts policed by the sweep,15 of 24,evidence/gate3_coverage_analysis.json
G3,declared value atoms outside every token shape,56 of 72,evidence/gate3_coverage_analysis.json
G3,gate verifies scannable_literals match declared value,FAIL - NOT VERIFIED,evidence/gate3_coverage_analysis.json
G3,gate verifies a declared mirror actually contains the value,FAIL - NOT VERIFIED,evidence/gate3_coverage_analysis.json
G3,no deprecated literal survives (independent robust search),PASS,evidence/gate3_missing_concepts.json
G3,"load-bearing runner constants with no concept (REAL_CANARY_QUERY, TIERS)",FAIL - MISSING CONCEPTS,evidence/gate3_missing_concepts.json
G3,independent sweep of shipped bytes: tokens invisible to the gate,0 (shipped bytes clean),evidence/independent_sweep.json
G4,seal records submission status only,PASS,evidence/probe_batch3.json
G4,inventory carries no status field,PASS,evidence/probe_batch3.json
G4,attestation path resolves to a real record,PASS,evidence/probe_batch3.json
G4,gate blocks missing / disagreeing attestation,PASS,evidence/probe_batch3.json
G4,attestation bytes bound by any package hash,FAIL - NOT BOUND,evidence/gate4_attestation.json
G4,attestation cannot be redirected inside the candidate,FAIL - REDIRECTION UNDETECTED,evidence/probe_batch3.json
G5,positive control: unmodified copy passes,PASS,evidence/probe_batch4.json
G5,negative fixtures of auditor construction,36 probes run,evidence/probe_batch*.json
G5,"implementer fixtures (read for coverage only): 13 cases, all confirmatory",OBSERVED,evidence/gate5_implementer_fixture_coverage.json
G6,"B1/B2/B3, aggregation, authorization, leakage on byte-identical runner",CITED FROM V4 AUDIT,evidence/precond4_preserved_packages.json
G6,V4/V5 audit packages authentic; V5 manifest 32/32 self-consistent,PASS,evidence/precond4_preserved_packages.json
PRE,"upstream BEAM corpus re-derived: 205/205 blobs, commit match",PASS,evidence/pinned_corpus_verification.json
PRE,declarative payloads agree with runner constants (30/30),PASS,evidence/precond3_anchor_agreement.json
