audit_question_id,tier,conversation_id,ability,audit_category,primary_evidence_cohort_eligible,eligibility_reason,gold_source_unit_count,all_at_3_structurally_possible,gold_source_ids
100K::1::preference_following::2,100K,1,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[178]
100K::1::summarization::1,100K,1,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,10,False,"[4, 5, 8, 9, 116, 117, 150, 151, 176, 177]"
100K::1::summarization::2,100K,1,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,11,False,"[16, 17, 64, 65, 88, 89, 138, 139, 141, 150, 151]"
100K::1::temporal_reasoning::1,100K,1,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[2, 0]"
100K::1::temporal_reasoning::2,100K,1,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[28, 86]"
100K::2::abstention::1,100K,2,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::2::abstention::2,100K,2,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::2::contradiction_resolution::1,100K,2,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,4,False,"[32, 34, 36, 70]"
100K::2::contradiction_resolution::2,100K,2,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[88, 132]"
100K::2::event_ordering::1,100K,2,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[20, 22, 24, 74, 160]"
100K::2::event_ordering::2,100K,2,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[28, 162]"
100K::2::information_extraction::1,100K,2,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[10]
100K::2::information_extraction::2,100K,2,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[33, 35, 37]"
100K::2::instruction_following::1,100K,2,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[130]
100K::2::instruction_following::2,100K,2,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[130]
100K::2::knowledge_update::1,100K,2,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[32, 66]"
100K::2::knowledge_update::2,100K,2,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[114, 128]"
100K::2::multi_session_reasoning::1,100K,2,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[32, 34, 36, 122, 190]"
100K::2::multi_session_reasoning::2,100K,2,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[38, 80]"
100K::2::preference_following::1,100K,2,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[54]
100K::2::preference_following::2,100K,2,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[182, 184]"
100K::2::summarization::1,100K,2,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,8,False,"[6, 7, 8, 9, 54, 55, 122, 123]"
100K::2::summarization::2,100K,2,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,10,False,"[20, 21, 23, 25, 52, 53, 94, 95, 96, 97]"
100K::2::temporal_reasoning::1,100K,2,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[32, 42]"
100K::2::temporal_reasoning::2,100K,2,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[0, 50]"
100K::3::abstention::1,100K,3,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::3::abstention::2,100K,3,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::3::contradiction_resolution::1,100K,3,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[36, 56]"
100K::3::contradiction_resolution::2,100K,3,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[72, 120]"
100K::3::event_ordering::1,100K,3,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[10, 72, 148]"
100K::3::event_ordering::2,100K,3,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[12, 82, 164]"
100K::3::information_extraction::1,100K,3,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[12]
100K::3::information_extraction::2,100K,3,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[12, 13]"
100K::3::instruction_following::1,100K,3,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[54]
100K::3::instruction_following::2,100K,3,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[54]
100K::3::knowledge_update::1,100K,3,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[12, 52]"
100K::3::knowledge_update::2,100K,3,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[60, 116]"
100K::3::multi_session_reasoning::1,100K,3,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[16, 116]"
100K::3::multi_session_reasoning::2,100K,3,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,10,False,"[50, 51, 98, 99, 136, 137, 138, 139, 140, 141]"
100K::3::preference_following::1,100K,3,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[36]
100K::3::preference_following::2,100K,3,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[100]
100K::3::summarization::1,100K,3,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,16,False,"[4, 5, 6, 7, 16, 17, 58, 59, 60, 61, 66, 67, 82, 83, 116, 117]"
100K::3::summarization::2,100K,3,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,14,False,"[14, 15, 30, 31, 62, 63, 64, 65, 68, 69, 70, 71, 166, 167]"
100K::3::temporal_reasoning::1,100K,3,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[12, 52]"
100K::3::temporal_reasoning::2,100K,3,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[34, 164]"
100K::4::abstention::1,100K,4,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::4::abstention::2,100K,4,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::4::contradiction_resolution::1,100K,4,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[58]
100K::4::contradiction_resolution::2,100K,4,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[134]
100K::4::event_ordering::1,100K,4,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,9,False,"[8, 12, 16, 20, 24, 26, 28, 30, 58]"
100K::4::event_ordering::2,100K,4,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,10,False,"[116, 118, 120, 122, 128, 130, 132, 134, 136, 138]"
100K::4::information_extraction::1,100K,4,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[151]
100K::4::information_extraction::2,100K,4,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[166, 167]"
100K::4::instruction_following::1,100K,4,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,4,False,"[132, 134, 136, 138]"
100K::4::instruction_following::2,100K,4,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,4,False,"[132, 134, 136, 138]"
100K::4::knowledge_update::1,100K,4,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[82, 130]"
100K::4::knowledge_update::2,100K,4,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[30, 58]"
100K::4::multi_session_reasoning::1,100K,4,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[30, 58]"
100K::4::multi_session_reasoning::2,100K,4,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[82, 110]"
100K::4::preference_following::1,100K,4,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[116]
100K::4::preference_following::2,100K,4,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[198]
100K::4::summarization::1,100K,4,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[76, 79, 81, 85, 89]"
100K::4::summarization::2,100K,4,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,11,False,"[144, 145, 147, 150, 151, 152, 153, 158, 159, 162, 163]"
100K::4::temporal_reasoning::1,100K,4,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[32, 156]"
100K::4::temporal_reasoning::2,100K,4,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[30, 82]"
100K::5::abstention::1,100K,5,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::5::abstention::2,100K,5,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::5::contradiction_resolution::1,100K,5,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[36, 66]"
100K::5::contradiction_resolution::2,100K,5,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[84, 86, 88, 134, 136]"
100K::5::event_ordering::1,100K,5,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,12,False,"[6, 10, 14, 34, 16, 18, 30, 20, 24, 50, 56, 58]"
100K::5::event_ordering::2,100K,5,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[28, 76]"
100K::5::information_extraction::1,100K,5,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[16]
100K::5::information_extraction::2,100K,5,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[32]
100K::5::instruction_following::1,100K,5,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[64]
100K::5::instruction_following::2,100K,5,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[132]
100K::5::knowledge_update::1,100K,5,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[44, 62]"
100K::5::knowledge_update::2,100K,5,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,4,False,"[84, 86, 88, 130]"
100K::5::multi_session_reasoning::1,100K,5,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[28, 29, 76]"
100K::5::multi_session_reasoning::2,100K,5,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[30, 96, 226]"
100K::5::preference_following::1,100K,5,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[60]
100K::5::preference_following::2,100K,5,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[60]
100K::5::summarization::1,100K,5,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,9,False,"[6, 7, 11, 13, 15, 31, 43, 57, 59]"
100K::5::summarization::2,100K,5,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,10,False,"[140, 141, 146, 149, 151, 153, 155, 156, 180, 181]"
100K::5::temporal_reasoning::1,100K,5,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[84]
100K::5::temporal_reasoning::2,100K,5,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[138, 186]"
100K::6::abstention::1,100K,6,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::6::abstention::2,100K,6,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::6::contradiction_resolution::1,100K,6,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[22, 48]"
100K::6::contradiction_resolution::2,100K,6,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[82, 96]"
100K::6::event_ordering::1,100K,6,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,6,False,"[4, 60, 110, 156, 206, 6]"
100K::6::event_ordering::2,100K,6,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[18, 56, 108, 176, 244]"
100K::6::information_extraction::1,100K,6,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[18]
100K::6::information_extraction::2,100K,6,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[24, 25]"
100K::6::instruction_following::1,100K,6,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[46]
100K::6::instruction_following::2,100K,6,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[194]
100K::6::knowledge_update::1,100K,6,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[62, 92]"
100K::6::knowledge_update::2,100K,6,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[182, 192]"
100K::6::multi_session_reasoning::1,100K,6,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,4,False,"[28, 72, 122, 158]"
100K::6::multi_session_reasoning::2,100K,6,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,6,False,"[22, 92, 136, 23, 93, 137]"
100K::6::preference_following::1,100K,6,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[74]
100K::6::preference_following::2,100K,6,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[222]
100K::6::summarization::1,100K,6,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[1, 5, 7, 57, 111]"
100K::6::summarization::2,100K,6,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,6,False,"[15, 19, 71, 93, 139, 191]"
100K::6::temporal_reasoning::1,100K,6,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[14, 16]"
100K::6::temporal_reasoning::2,100K,6,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[120, 186]"
100K::7::abstention::1,100K,7,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::7::abstention::2,100K,7,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::7::contradiction_resolution::1,100K,7,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[38, 52]"
100K::7::contradiction_resolution::2,100K,7,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[80, 114]"
100K::7::event_ordering::1,100K,7,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[14, 64, 124, 170, 214]"
100K::7::event_ordering::2,100K,7,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[16, 54, 122, 168, 216]"
100K::7::information_extraction::1,100K,7,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[14]
100K::7::information_extraction::2,100K,7,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[14, 15]"
100K::7::instruction_following::1,100K,7,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[112]
100K::7::instruction_following::2,100K,7,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[160]
100K::7::knowledge_update::1,100K,7,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[82, 110]"
100K::7::knowledge_update::2,100K,7,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[116, 158]"
100K::7::multi_session_reasoning::1,100K,7,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[24, 66, 126, 172, 220]"
100K::7::multi_session_reasoning::2,100K,7,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[154, 252]"
100K::7::preference_following::1,100K,7,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[94]
100K::7::preference_following::2,100K,7,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[40]
100K::7::summarization::1,100K,7,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,5,False,"[14, 64, 124, 170, 214]"
100K::7::summarization::2,100K,7,summarization,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,6,False,"[16, 54, 56, 152, 168, 216]"
100K::7::temporal_reasoning::1,100K,7,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[116, 24]"
100K::7::temporal_reasoning::2,100K,7,temporal_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[80, 174]"
100K::8::abstention::1,100K,8,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::8::abstention::2,100K,8,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::8::contradiction_resolution::1,100K,8,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[16, 18, 50]"
