tier,conversation_id,chat_path,chat_bytes,chat_sha256,question_path,question_bytes,question_sha256,raw_message_units,user_messages,assistant_messages,other_role_messages,unique_local_message_ids,duplicate_local_message_id_values,malformed_message_ids,malformed_message_texts,probing_questions
100K,17,chats/100K/17/chat.json,586847,6eb309c34fd98025327bbe46dec8cdfbf76304c249d3f579f02f46cea06eeefe,chats/100K/17/probing_questions/probing_questions.json,30779,7948981c2e40751bfe9ace82e53497d32229245e6012a2e5d4da2e801c929451,286,143,143,0,286,0,0,0,20
100K,18,chats/100K/18/chat.json,829083,3c08576a5726fa48b9f906bc8699fab37e33cc5219f076f76374f7c1302449cb,chats/100K/18/probing_questions/probing_questions.json,27006,d813db9e2b416e6ac7cc22841b131ea5c80e5931e690f81bb37aa16c3b9edc3a,362,181,181,0,362,0,0,0,20
100K,19,chats/100K/19/chat.json,806876,4c6dd78fa5aa6bd645eab8a3f041eac290c87564fd822582477c8e446979850f,chats/100K/19/probing_questions/probing_questions.json,28691,b911651b2b18e835aaac58b2bc3cb018bc782e252b9161dca8174961ca498ce2,328,164,164,0,328,0,0,0,20
100K,20,chats/100K/20/chat.json,894533,af49a279c8ca5eef5829f8155bca89b41b05fb33fef438dce0a6cac8d99a7802,chats/100K/20/probing_questions/probing_questions.json,30564,46b679bffff904fd71ed247f5172e9a4a30ed7eb2fdaacc1d89aac0932e5f043,372,186,186,0,372,0,0,0,20
500K,1,chats/500K/1/chat.json,2024584,58c44756cae614e0bfc2cc27e6dcd236d97c255579ac8030cddc840fe71430cf,chats/500K/1/probing_questions/probing_questions.json,38044,0eba433d5145f1a0479095b44cd7213a0168000f05383f04a36dc8d21626562f,796,398,398,0,796,0,0,0,20
500K,2,chats/500K/2/chat.json,2219206,e35cba6056e49d307d179ebea1e581c55e4215c3e03a770278a9b7e23933306c,chats/500K/2/probing_questions/probing_questions.json,34883,c933641497c3512adf7ad1fd029c31eb4ba24bee36d36fd9ab8fba2ebc35cdaa,880,440,440,0,880,0,0,0,20
500K,3,chats/500K/3/chat.json,1944112,1ff21495eb108c34779b6af3a5b3118c57d66e030f9824e80e5a59f1f1fa4905,chats/500K/3/probing_questions/probing_questions.json,35235,1dfb9c2c4005fefe626caba7c6be3768bdd5c900c0a6cc3e1aa8fad0b0f423ad,772,386,386,0,772,0,0,0,20
500K,4,chats/500K/4/chat.json,2123005,f101e055ef1af2e972cba150ff4ebd7f4b685158163e86abfe5afbb7293413a6,chats/500K/4/probing_questions/probing_questions.json,35772,fbeac67b08058a3944879c671bcf5ce95c1d169b756390db726c65658e2d438b,836,418,418,0,836,0,0,0,20
500K,5,chats/500K/5/chat.json,2255701,8bf67a95be5226bf925d5faaec87ec81f5802d7f7d62b77e8c7229722b3242b9,chats/500K/5/probing_questions/probing_questions.json,34537,d9101159d6ffbc16d0cce7165749dae5eb08dc37d83ad1a0aa53c1e38d794c52,884,442,442,0,884,0,0,0,20
500K,6,chats/500K/6/chat.json,1504999,a9e2ad00781f9a954123ad0541d820d7895b7d1d5637abee93eeda61118ef7d8,chats/500K/6/probing_questions/probing_questions.json,31024,dcbb66bc4cafaa42569f6c128347a68aca6b0d697c7ae01fccc424532ac527ea,1024,512,512,0,1024,0,0,0,20
500K,7,chats/500K/7/chat.json,2412177,6cac5a0a5dc827093bdb7474527cecb410d42f544126cf18e8c6dcf6f4d31a56,chats/500K/7/probing_questions/probing_questions.json,35341,b96f1b61ceb1a66d5f486c9d4546451b324db4a11b0a28065e1fbc86da819bca,1364,682,682,0,1364,0,0,0,20
500K,8,chats/500K/8/chat.json,2425175,0996744e2b95d301fb35a7dcffbe3d7286320df531960e2f9b8843662eb7f937,chats/500K/8/probing_questions/probing_questions.json,34425,25d8d5d6ce32fdab9b85744a92900939477b6d00f96d58baf7356bb4e365cf44,1246,623,623,0,1246,0,0,0,20
500K,9,chats/500K/9/chat.json,1631358,ef0aa72a9ec213989d981e7542ce686d8b232f3758b02726d9f86c6d2528b826,chats/500K/9/probing_questions/probing_questions.json,35039,8a6f67f347c8ae87ddd89b11e7e1c1b5616344029a960befac559f56d9466b53,1030,515,515,0,1030,0,0,0,20
500K,10,chats/500K/10/chat.json,2153170,1675988b164321496d9f81a1783e3408a2c220ece690df9554ba4c27d3304f4f,chats/500K/10/probing_questions/probing_questions.json,33401,0d0c92b1e2b628532bd9159faab73e45885079f6f3b1e3612968f1647fc177fd,1248,624,624,0,1248,0,0,0,20
500K,11,chats/500K/11/chat.json,2202847,e319300776999872b9aed1f3e284c3f0db75b94d71addd6d1db80a2da260b4d8,chats/500K/11/probing_questions/probing_questions.json,33607,594e51272adabf68a63aeefc0c0ca55a0b94eb91212ab30fb3a6dda628b27b1d,1090,545,545,0,1090,0,0,0,20
500K,12,chats/500K/12/chat.json,2273764,9bfe7a747659bda066e41b27fef5988e8d47e0ea3a84f662195ca6a069d59708,chats/500K/12/probing_questions/probing_questions.json,34525,627d8bec6edd334ca180c3ca6540eb6280a21b55a2ef7c1c3f6409ace8b5860a,1120,560,560,0,1120,0,0,0,20
500K,13,chats/500K/13/chat.json,2910409,5d3e0426ddd04c48dddf900665eceef9ef8f4fd1a0c7f17f6dcee32d550dbb78,chats/500K/13/probing_questions/probing_questions.json,33190,4ca0b8c6bc24448ace2878c2d70c0754c4f9ea49f22c2c1fe467a7ffc4e01d73,1234,617,617,0,1234,0,0,0,20
500K,14,chats/500K/14/chat.json,2936444,29d1e21d3732983189151bc96016577cdef8009b1f107c6f2daf2d09d295ed4b,chats/500K/14/probing_questions/probing_questions.json,33234,71c407c9f9beefd848824f8dc1d1bed8760f937b952cf88cfaa150ecc1e09dd9,1274,637,637,0,1274,0,0,0,20
500K,15,chats/500K/15/chat.json,2468834,8eef61d80e214aa580ca49e92b5ddbf5a28374efc6dfdd405c29e6d3467e4fe3,chats/500K/15/probing_questions/probing_questions.json,32468,d0ebb5d5184083fde112e4aced0ef2c671600030f656a5f519fc66d6605ea9fc,1122,561,561,0,1122,0,0,0,20
500K,16,chats/500K/16/chat.json,2338808,88520d6a28843b45081352f16ed23aa97a6b206c09120a63e31a5ee198a4661e,chats/500K/16/probing_questions/probing_questions.json,31347,baab8017c5de7ab627d2b2a693f1c3dfa821b3a20a75e5486f1f4dadbedd3af7,1056,528,528,0,1056,0,0,0,20
500K,17,chats/500K/17/chat.json,2819892,ea93a7c7045f4842eaed3a251658e6aac6ca9a989eb31a3589851f548cef0b1d,chats/500K/17/probing_questions/probing_questions.json,31060,58467ded32ad303baedfa08cd568a79f2e4ea3a8cae60a83f5e17d744738bbcf,1226,613,613,0,1226,0,0,0,20
500K,18,chats/500K/18/chat.json,2406462,6c2a1f773e85c5de1f0f01877883ad900eb41bb9268bdce50eef4edf80fe0711,chats/500K/18/probing_questions/probing_questions.json,33106,3db4c66843b9a35b3e630a578be52ff73ca0272902778d1d2aad98964e706586,1076,538,538,0,1076,0,0,0,20
500K,19,chats/500K/19/chat.json,3009123,9cc25fbdae36bed99f59f25ad2016603e26b3bf603ac28d756d246eb2f3f690d,chats/500K/19/probing_questions/probing_questions.json,31530,c6f5bac36382f9f10c197db1b2357b4be6b5c0b031fcca5c962f7c2d6f600ea2,1180,590,590,0,1180,0,0,0,20
500K,20,chats/500K/20/chat.json,2779916,a4310f2665e21053700f8057f7d36af1815ed9a62e5ae64bdcef7f030dece777,chats/500K/20/probing_questions/probing_questions.json,30471,db6eeb8cd0e800d2331fcee16ba69728bb25a9f6aa355bde9f713ee85e415224,1034,517,517,0,1034,0,0,0,20
500K,21,chats/500K/21/chat.json,2765408,36829395dd5d75ab5771250a6b617f063c7620ac70b6b53ceac9ac4a7cb96735,chats/500K/21/probing_questions/probing_questions.json,31318,0e011e101c011668b67e04a71ff0deb6800136f4c7bf269f6dfe4f3c4ce47c74,1208,604,604,0,1208,0,0,0,20
500K,22,chats/500K/22/chat.json,3019259,b26ef5ae462f09cb316e7d0c79dd5e3625db0c0fd5c25600b30ef54e4f5776c0,chats/500K/22/probing_questions/probing_questions.json,33009,c3488fba1350b18e9fb84e01c9c2127ad6c20dbd72d9f6fdd3f015bab40230f3,1296,648,648,0,1296,0,0,0,20
500K,23,chats/500K/23/chat.json,2408208,738525ab551b9a2aea3a4210922514483620607e47fd1c4821ce70923b19cc54,chats/500K/23/probing_questions/probing_questions.json,32352,edf493541f55abde635b490c44ee0e8d72adeb9a22b2e941a0c611cf83006381,1088,544,544,0,1088,0,0,0,20
500K,24,chats/500K/24/chat.json,2177200,4eea409147037d803ffbaed1c6990067782b6faac35f3af97bba7fc2aedc7636,chats/500K/24/probing_questions/probing_questions.json,29943,230521597cceaf2578d075ac1106094f7d896db3af88bf8753e8cfe8d6e9ab6d,1018,509,509,0,1018,0,0,0,20
500K,25,chats/500K/25/chat.json,2626982,c743ce7178f85a31fda8df8bb72a057fda1821ccc4952eef3d855512d06fd71f,chats/500K/25/probing_questions/probing_questions.json,31585,9eaafd78feef303271f0938e08592755c701c4917e36f6ab122b397208c724a7,1122,561,561,0,1122,0,0,0,20
500K,26,chats/500K/26/chat.json,2327696,bdc52a3c539af30e4973823079b0616c16bc277fc2668b1a0c211c7e8d006f7f,chats/500K/26/probing_questions/probing_questions.json,33939,57beceb0651682a2727f7dfb07298fd8ccf9c12acb56e438d20314e9a903af44,1066,533,533,0,1066,0,0,0,20
500K,27,chats/500K/27/chat.json,2396071,30e70862d6b67009a8ad3c7ff9426d95c13492a0e5f0f95a9978bbb1ed404867,chats/500K/27/probing_questions/probing_questions.json,32553,dfac18c4abcf3a42e31a57ab1a5166407913197ecd1481b4bfb4e924ed924975,1190,595,595,0,1190,0,0,0,20
500K,28,chats/500K/28/chat.json,2503422,0bce8093cce38ddf877858fc83870e5ef8336b3e77a763e9b1097d3d1e1ff822,chats/500K/28/probing_questions/probing_questions.json,31294,217232907484971467cdf122bcc4eceab0f2f9cc2aec56e8a8c7fd7d08b75058,942,471,471,0,942,0,0,0,20
500K,29,chats/500K/29/chat.json,2120343,641aeea8e96f0f403cc500e9bb295654fb9d8893b18094e1b15f575bb48521b8,chats/500K/29/probing_questions/probing_questions.json,30455,4d56013fe0f9e94b69e9ecb6ec1db5f7ca5648a6cc39ecb900a729797b13c6b3,910,455,455,0,910,0,0,0,20
500K,30,chats/500K/30/chat.json,2211691,1a27428bdb93f4b2050cdd2a58dd9c9f27803ee0190cd6c26f0e0c5b19226606,chats/500K/30/probing_questions/probing_questions.json,31377,5afea3854508d8ec060c5448f69c0b6c4a1b0acb6f7e3eec8016401a3091a364,1060,530,530,0,1060,0,0,0,20
500K,31,chats/500K/31/chat.json,2526697,a8726583a5ed55b6e47f59ec4db45f1ce2c9203b5af4fdaf81005719586e2e54,chats/500K/31/probing_questions/probing_questions.json,31795,aa8c93c69134d9f28159182fc918c1ec8e54bc61588283cdc5e4e4e3f3189315,1072,536,536,0,1072,0,0,0,20
500K,32,chats/500K/32/chat.json,3669882,0d3cc7ccf87e1510a7953215eefd3612c45739788f586a7a36a1ff287ce16489,chats/500K/32/probing_questions/probing_questions.json,32200,20d04ec4a80135f4eee0d05241e884e77c504209801e51ca4f456b07fee5c1b5,1424,712,712,0,1424,0,0,0,20
500K,33,chats/500K/33/chat.json,2238648,83ef5ef9cbbd02e3f7bf0898f7a9574a14d0b1ff14f6560bfd0c129ced9b2f68,chats/500K/33/probing_questions/probing_questions.json,34493,4e6a00a71ba0df48ff9f132ec9b4544e3fd477b65aa7ca8b14f1b7e3fc45f418,986,493,493,0,986,0,0,0,20
500K,34,chats/500K/34/chat.json,2448326,e026e43b5677fe4e743f984aab7c4dff355ea6e3d534656fd5c2a8f6fae4a8bc,chats/500K/34/probing_questions/probing_questions.json,30484,2800116f9fbb00b54f99805beabf53e263236f06080076600ac815f7507359ba,1182,591,591,0,1182,0,0,0,20
500K,35,chats/500K/35/chat.json,2165145,d3e1560a181addb46fb8a1bd6a5ab648f324e66a41575bce94d424000ed2c911,chats/500K/35/probing_questions/probing_questions.json,31486,e1be0d82a8e694f8092b21b584eb3ac57436bb4719b5f979f673e28f649e33f3,1002,501,501,0,1002,0,0,0,20
1M,1,chats/1M/1/chat.json,4602629,cbfd265429bb4d39cb390ed2e6525d40631c128fc0406fef8420af9bd5f97eae,chats/1M/1/probing_questions/probing_questions.json,44283,f3e212069cb3d78b6e032efa2dbdd85530f39cc23809ef0496c3c020cac10c3c,1710,855,855,0,1710,0,0,0,20
1M,2,chats/1M/2/chat.json,4584827,c4845c44e4546732ce626bfa91cf7ef4c7e09bf3dd64fb62407e5903ad72d19b,chats/1M/2/probing_questions/probing_questions.json,43349,0cefc355c4e941c9fcb6911f11ce1b4f3af5174d7cb567523306b10fd74f4517,1780,890,890,0,1780,0,0,0,20
1M,3,chats/1M/3/chat.json,3929913,3e2f10e6d76a514ced7ea7d73be589f20f6a77e0cc973fee5139e3705ae5d572,chats/1M/3/probing_questions/probing_questions.json,37313,52b2eedd5c099e92b8125d71b480396ebfca61cb84768622196e2f7c4d930c33,1556,778,778,0,1556,0,0,0,20
1M,4,chats/1M/4/chat.json,3961659,10a69ff4b6f868e9ee401038894fef5bbbee9faf8149f75ba64db37b1370484d,chats/1M/4/probing_questions/probing_questions.json,40511,23e4f2bfdb6b2189edecf231d8d8b909c76d1a984c267ac72d1a2b078d57739a,1600,800,800,0,1600,0,0,0,20
1M,5,chats/1M/5/chat.json,4477574,f622e6f1a2823c781889dc40e20647f6bb2e9013b8ad029ab802516a31d71f3b,chats/1M/5/probing_questions/probing_questions.json,39577,4543ef75d7b7e183ca22fcdc558011ec03e5f7ec50290cc011fb49949d79e812,1750,875,875,0,1600,150,0,0,20
1M,6,chats/1M/6/chat.json,3806399,5900bf2cdf7020048bddd29bb7ee55fa4161341012e5a4c9690c4b0e5b3472ab,chats/1M/6/probing_questions/probing_questions.json,33978,47a0df103bd156d3b11a08ea9bce9da094134e14cfcfe938ee21d564edd9bbfd,1772,886,886,0,1772,0,0,0,20
1M,7,chats/1M/7/chat.json,3308637,41d92b8f58db9d86fe04669a568a4642cbf76ad44e4200f5baef750b76a89201,chats/1M/7/probing_questions/probing_questions.json,40906,e5fa0845934d98404a7083ea992e1c28ec3eac1810cc272e869967b8720d072f,1662,831,831,0,1662,0,0,0,20
1M,8,chats/1M/8/chat.json,3338041,a3fe062533b2858c9a1a6f1fec03226f468d4f4f69d1f7ff0201be91516a625f,chats/1M/8/probing_questions/probing_questions.json,36653,7e6f80cb6f7a5b4b69fa81271e505a832d23c1e52bab3f0c10afe30a3f887cc5,1764,882,882,0,1764,0,0,0,20
1M,9,chats/1M/9/chat.json,3234422,cc581297a1faa7589a0b0842c03d6c9dd3803075b9bbe9aef705d4be8c157842,chats/1M/9/probing_questions/probing_questions.json,39045,571beab784a213167cc4128b18cefb66c02703c5f46aaabde01d196f55fdae7b,1802,901,901,0,1802,0,0,0,20
1M,10,chats/1M/10/chat.json,3657965,3cea892dd1e52a4f2ce010b96d25ed8e2a8d0e854a5ab508e234ee541e2311de,chats/1M/10/probing_questions/probing_questions.json,37031,9ce3df632fd59660d73e5a10a94f2be8554a53d503cb41e1f8795bfe88a0a176,1776,888,888,0,1776,0,0,0,20
1M,11,chats/1M/11/chat.json,5495178,1011097be4afde22ef2beffa8a1be14e8f05e37981f43355edb53b9545bf1dc7,chats/1M/11/probing_questions/probing_questions.json,40463,40a9d0720baf79882a9b0455fd948c2ef5e0001512eff860aa9d7645dd1b610d,2294,1147,1147,0,2294,0,0,0,20
1M,12,chats/1M/12/chat.json,5550424,8fec49d396f8ffb6c6bff2c390ea470df069108ea8840f55e374e69ec0976a47,chats/1M/12/probing_questions/probing_questions.json,41554,05a9ed6fec37b7ff9fb619f322d09678ca2e0cf96f11ace634ebbe51582e1281,2214,1107,1107,0,2214,0,0,0,20
1M,13,chats/1M/13/chat.json,7243545,e57197ff4c7daf17546cc9a43ff76b16530644893b461c3160b0a1097ede0241,chats/1M/13/probing_questions/probing_questions.json,41055,ca8cde4a6c38e84cbd8b3c4c852e22ab559c3ff3dd2f6605684b7f0a97ea544a,2988,1494,1494,0,2988,0,0,0,20
1M,14,chats/1M/14/chat.json,6237332,b502559b2ba12f3ac5a396f79000cb473fb9f3e520e6e481a78a814cad334d43,chats/1M/14/probing_questions/probing_questions.json,38009,b893d0f13f1f42c277f83d04bb431fe0136c8207f49adcfbf0a2dc18c560c86f,2694,1347,1347,0,2694,0,0,0,20
1M,15,chats/1M/15/chat.json,4369889,4e2b98451c52aa74cb52221c0f1adba15c04d6fc41e4af4bca1947a597128885,chats/1M/15/probing_questions/probing_questions.json,39299,e852b9a64031d0335013679376fedfbc1c922b8561178f47e936f9f74bddf80a,1936,968,968,0,1936,0,0,0,20
1M,16,chats/1M/16/chat.json,4743035,53258c5c84fd669f9aa3bdf2101dae2007a4dbb6ddf7bca828dec70059a520da,chats/1M/16/probing_questions/probing_questions.json,39859,0059214945c52a617f28d429ece9e8f17d7bc34bed5c2c2edbb735a21c5ef3cf,2182,1091,1091,0,2182,0,0,0,20
1M,17,chats/1M/17/chat.json,4437191,9f3cacd3fb5b54ad5ef197a6afe8eeb8514318e9848dad7b6da2ba4cfda8d6c3,chats/1M/17/probing_questions/probing_questions.json,38906,ee886f50a416b77a770bc9618e3f55f902ce1c38ab7c7d81aba315efb8861b12,1966,983,983,0,1966,0,0,0,20
1M,18,chats/1M/18/chat.json,6167186,6da8ea08cbbfcdc75466e91ac60fb98cf467ee112d30a23886dbb5f8b55cfe3c,chats/1M/18/probing_questions/probing_questions.json,39083,ad18304a2077693ffb28c534fa1194cd89a7fa9e27acc9eafce6ef3495be44c2,2612,1306,1306,0,2612,0,0,0,20
1M,19,chats/1M/19/chat.json,4881054,63c549e2aebebe9fc1ac89a79a6538584e5643649a41bbcb908f4cd072be7660,chats/1M/19/probing_questions/probing_questions.json,38941,9e2e2336bead1a063112e3f50faf194c1f0fb73f3b8a6f381c9d69cac8429ce6,1970,985,985,0,1970,0,0,0,20
1M,20,chats/1M/20/chat.json,5613687,b625de2f8f716ea0e5e4a5db58b4093a28efb1734c93aa7aa103dde95bc408a0,chats/1M/20/probing_questions/probing_questions.json,36441,7f9d121386bed47be754aede8acdf70578880c9f91a4f2a4718424f65a7dbd67,2410,1205,1205,0,2410,0,0,0,20
1M,21,chats/1M/21/chat.json,5449285,001cbde94873130236743b124f5cac82724a91d88ac35254017b0d09dd730555,chats/1M/21/probing_questions/probing_questions.json,40871,231efdb4f1c4aea8ac2a518721dcb9a79ce90e626a9d4469a8e21d6f86ae6e99,2334,1167,1167,0,2334,0,0,0,20
1M,22,chats/1M/22/chat.json,4775540,0880c55e3e52c68ce4838857e92b303daa591c27ebeef642e87a6097006ee322,chats/1M/22/probing_questions/probing_questions.json,39516,9fb276ff2bcac3a59361571c2a9870ca4ac2c5e48296e69f8982d1c90428a7d9,2202,1101,1101,0,2202,0,0,0,20
1M,23,chats/1M/23/chat.json,4543183,445120153fd81655104f6de253ec6f565cd837df42c5241e6cd4e303f49960f2,chats/1M/23/probing_questions/probing_questions.json,38356,ceafa932d51f3fabf4dd405e53ed834c64e6854cb622034787293c9392a58678,2016,1008,1008,0,2016,0,0,0,20
1M,24,chats/1M/24/chat.json,5074482,9e20e47cba3ecf848f9364c26791a2422f5580fe0ba17e825277ae69d73d68e0,chats/1M/24/probing_questions/probing_questions.json,38438,a775f6b5643eb9de2f6f0348414c25b2c49d4982c75fdf02e2c3188c5f965071,1894,947,947,0,1894,0,0,0,20
1M,25,chats/1M/25/chat.json,7898756,952c133d86b2f6194e947991500100215657653bacddc65d2fa95af2ea454d55,chats/1M/25/probing_questions/probing_questions.json,42616,01c30627d64c5d5345b3a423b05587b380e1cfb1aeafd0309d5b68aa71ddee4c,3008,1504,1504,0,3008,0,0,0,20
1M,26,chats/1M/26/chat.json,6292638,20700df440578f0c036afb9294fcaed8bf93193848486d562a067ad1fbe4cf40,chats/1M/26/probing_questions/probing_questions.json,40314,033f8fb9c947e76871c3f34e0df66c26417f332be12a05827745d3ef2b5de49b,2418,1209,1209,0,1994,424,0,0,20
1M,27,chats/1M/27/chat.json,4714230,8d0706ce77ebd5b1088171e12dde706f52787935ec6f6787f49ea4cbca8d7e0f,chats/1M/27/probing_questions/probing_questions.json,38717,4d77a572916d0c4cab8e9a94b0393ab61ba5af53c42a2399713153a5f06aedf6,2210,1105,1105,0,2210,0,0,0,20
1M,28,chats/1M/28/chat.json,5700328,82dc51ecaabfc9e79990c5dd799b91d06f96e1212c2f0a90ec5991f88f0313c6,chats/1M/28/probing_questions/probing_questions.json,39592,40741124c30aeaaf9e576582edcde7501cb9db415cabffa43e0ef1b49b05892f,2356,1178,1178,0,2356,0,0,0,20
1M,29,chats/1M/29/chat.json,4598972,78ad2333c0f54b29d31568bf9a09e99ab7595ed0ec8a1acb4a88b0446065bb26,chats/1M/29/probing_questions/probing_questions.json,40600,ad48b89e9c9c27bd0e3c8e98740ea3429aac3f930ea7eac7396c79aa655da155,2026,1013,1013,0,2026,0,0,0,20
1M,30,chats/1M/30/chat.json,4957117,6df386dabbf53fe26ef6df8e18cf335f5cf36e0dbd1f1bca99fbc863f7535084,chats/1M/30/probing_questions/probing_questions.json,36799,2d272e2c3eac578ace819112f3443b9524e47d968e47f805fa20208cbeeb09e0,2356,1178,1178,0,2356,0,0,0,20
1M,31,chats/1M/31/chat.json,3926911,4aec3143e4b364e730e37b8d0f5c623403568c4a163537285f97a687673a7131,chats/1M/31/probing_questions/probing_questions.json,38516,db22b6bce15e3d18b987c13f17360e7c8476b8a812a2134311cad1cf08673289,1982,991,991,0,1982,0,0,0,20
1M,32,chats/1M/32/chat.json,4168894,81e4ee283ec2ed74708da6466d82336285db21b002040bc628336072cc7a2614,chats/1M/32/probing_questions/probing_questions.json,36891,6a6b8a519ad4c6725b4af956ecaf9e6628efa97418345e456d6874a4d1626fec,2088,1044,1044,0,2088,0,0,0,20
1M,33,chats/1M/33/chat.json,5519185,b19656e14da34a8ab21b1127e3f1185f988849bab733ed60e4a8229478d05b6e,chats/1M/33/probing_questions/probing_questions.json,40795,081dd9ed2a505e1bcf75af42b9d98d369ec21d144efdf18886cdc6e76bd99e95,2312,1156,1156,0,2106,206,0,0,20
1M,34,chats/1M/34/chat.json,7799319,c485a46820442fbc9bf27d6d4062622902948486ab626443d51a2487c68c9cad,chats/1M/34/probing_questions/probing_questions.json,38552,c01d65e3416e9d973fb0b05d18c474ce4a145303656850753bcd47b4f287281d,2874,1437,1437,0,1934,940,0,0,20
