audit_question_id,tier,conversation_id,ability,category,source_shape,source_field_present,conversation_reference_present,conversation_references_present,raw_source_ref_count,unique_source_id_count,matched_source_id_count,unmatched_source_id_count,ambiguous_source_id_count,duplicate_source_ref_id_count,source_parse_error,raw_source_ids,unique_source_ids,matched_source_ids,unmatched_source_ids,ambiguous_source_ids,duplicate_source_refs
100K::1::multi_session_reasoning::1,100K,1,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,,"[14, 106, 162]","[14, 106, 162]","[14, 106, 162]",[],[],[]
100K::1::multi_session_reasoning::2,100K,1,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,,"[16, 84, 150]","[16, 84, 150]","[16, 84, 150]",[],[],[]
100K::1::preference_following::1,100K,1,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[34],[34],[34],[],[],[]
100K::1::preference_following::2,100K,1,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[178],[178],[178],[],[],[]
100K::1::summarization::1,100K,1,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,10,10,10,0,0,0,,"[4, 5, 8, 9, 116, 117, 150, 151, 176, 177]","[4, 5, 8, 9, 116, 117, 150, 151, 176, 177]","[4, 5, 8, 9, 116, 117, 150, 151, 176, 177]",[],[],[]
100K::1::summarization::2,100K,1,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,11,11,11,0,0,0,,"[16, 17, 64, 65, 88, 89, 138, 139, 141, 150, 151]","[16, 17, 64, 65, 88, 89, 138, 139, 141, 150, 151]","[16, 17, 64, 65, 88, 89, 138, 139, 141, 150, 151]",[],[],[]
100K::1::temporal_reasoning::1,100K,1,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[2, 0]","[2, 0]","[0, 2]",[],[],[]
100K::1::temporal_reasoning::2,100K,1,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[28, 86]","[28, 86]","[28, 86]",[],[],[]
100K::2::contradiction_resolution::1,100K,2,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,4,4,4,0,0,0,,"[32, 34, 36, 70]","[32, 34, 36, 70]","[32, 34, 36, 70]",[],[],[]
100K::2::contradiction_resolution::2,100K,2,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[88, 132]","[88, 132]","[88, 132]",[],[],[]
100K::2::event_ordering::1,100K,2,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[20, 22, 24, 74, 160]","[20, 22, 24, 74, 160]","[20, 22, 24, 74, 160]",[],[],[]
100K::2::event_ordering::2,100K,2,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[28, 162]","[28, 162]","[28, 162]",[],[],[]
100K::2::information_extraction::1,100K,2,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[10],[10],[10],[],[],[]
100K::2::information_extraction::2,100K,2,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,3,3,3,0,0,0,,"[33, 35, 37]","[33, 35, 37]","[33, 35, 37]",[],[],[]
100K::2::instruction_following::1,100K,2,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[130],[130],[130],[],[],[]
100K::2::instruction_following::2,100K,2,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[130],[130],[130],[],[],[]
100K::2::knowledge_update::1,100K,2,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[32, 66]","[32, 66]","[32, 66]",[],[],[]
100K::2::knowledge_update::2,100K,2,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[114, 128]","[114, 128]","[114, 128]",[],[],[]
100K::2::multi_session_reasoning::1,100K,2,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[32, 34, 36, 122, 190]","[32, 34, 36, 122, 190]","[32, 34, 36, 122, 190]",[],[],[]
100K::2::multi_session_reasoning::2,100K,2,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[38, 80]","[38, 80]","[38, 80]",[],[],[]
100K::2::preference_following::1,100K,2,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[54],[54],[54],[],[],[]
100K::2::preference_following::2,100K,2,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,2,2,2,0,0,0,,"[182, 184]","[182, 184]","[182, 184]",[],[],[]
100K::2::summarization::1,100K,2,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,8,8,8,0,0,0,,"[6, 7, 8, 9, 54, 55, 122, 123]","[6, 7, 8, 9, 54, 55, 122, 123]","[6, 7, 8, 9, 54, 55, 122, 123]",[],[],[]
100K::2::summarization::2,100K,2,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,10,10,10,0,0,0,,"[20, 21, 23, 25, 52, 53, 94, 95, 96, 97]","[20, 21, 23, 25, 52, 53, 94, 95, 96, 97]","[20, 21, 23, 25, 52, 53, 94, 95, 96, 97]",[],[],[]
100K::2::temporal_reasoning::1,100K,2,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[32, 42]","[32, 42]","[32, 42]",[],[],[]
100K::2::temporal_reasoning::2,100K,2,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[0, 50]","[0, 50]","[0, 50]",[],[],[]
100K::3::contradiction_resolution::1,100K,3,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[36, 56]","[36, 56]","[36, 56]",[],[],[]
100K::3::contradiction_resolution::2,100K,3,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[72, 120]","[72, 120]","[72, 120]",[],[],[]
100K::3::event_ordering::1,100K,3,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,,"[10, 72, 148]","[10, 72, 148]","[10, 72, 148]",[],[],[]
100K::3::event_ordering::2,100K,3,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,3,3,0,0,2,,"[12, 82, 82, 164, 164]","[12, 82, 164]","[12, 82, 164]",[],[],"[82, 164]"
100K::3::information_extraction::1,100K,3,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[12],[12],[12],[],[],[]
100K::3::information_extraction::2,100K,3,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,,"[12, 13]","[12, 13]","[12, 13]",[],[],[]
100K::3::instruction_following::1,100K,3,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[54],[54],[54],[],[],[]
100K::3::instruction_following::2,100K,3,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[54],[54],[54],[],[],[]
100K::3::knowledge_update::1,100K,3,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[12, 52]","[12, 52]","[12, 52]",[],[],[]
100K::3::knowledge_update::2,100K,3,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[60, 116]","[60, 116]","[60, 116]",[],[],[]
100K::3::multi_session_reasoning::1,100K,3,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[16, 116]","[16, 116]","[16, 116]",[],[],[]
100K::3::multi_session_reasoning::2,100K,3,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,10,10,10,0,0,0,,"[50, 51, 98, 99, 136, 137, 138, 139, 140, 141]","[50, 51, 98, 99, 136, 137, 138, 139, 140, 141]","[50, 51, 98, 99, 136, 137, 138, 139, 140, 141]",[],[],[]
100K::3::preference_following::1,100K,3,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[36],[36],[36],[],[],[]
100K::3::preference_following::2,100K,3,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[100],[100],[100],[],[],[]
100K::3::summarization::1,100K,3,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,16,16,16,0,0,0,,"[4, 5, 6, 7, 16, 17, 58, 59, 60, 61, 66, 67, 82, 83, 116, 117]","[4, 5, 6, 7, 16, 17, 58, 59, 60, 61, 66, 67, 82, 83, 116, 117]","[4, 5, 6, 7, 16, 17, 58, 59, 60, 61, 66, 67, 82, 83, 116, 117]",[],[],[]
100K::3::summarization::2,100K,3,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,14,14,14,0,0,0,,"[14, 15, 30, 31, 62, 63, 64, 65, 68, 69, 70, 71, 166, 167]","[14, 15, 30, 31, 62, 63, 64, 65, 68, 69, 70, 71, 166, 167]","[14, 15, 30, 31, 62, 63, 64, 65, 68, 69, 70, 71, 166, 167]",[],[],[]
100K::3::temporal_reasoning::1,100K,3,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[12, 52]","[12, 52]","[12, 52]",[],[],[]
100K::3::temporal_reasoning::2,100K,3,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[34, 164]","[34, 164]","[34, 164]",[],[],[]
100K::4::contradiction_resolution::1,100K,4,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,1,1,0,0,1,,"[58, 58]",[58],[58],[],[],[58]
100K::4::contradiction_resolution::2,100K,4,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,1,1,0,0,1,,"[134, 134]",[134],[134],[],[],[134]
100K::4::event_ordering::1,100K,4,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,9,9,9,0,0,0,,"[8, 12, 16, 20, 24, 26, 28, 30, 58]","[8, 12, 16, 20, 24, 26, 28, 30, 58]","[8, 12, 16, 20, 24, 26, 28, 30, 58]",[],[],[]
100K::4::event_ordering::2,100K,4,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,10,10,10,0,0,0,,"[116, 118, 120, 122, 128, 130, 132, 134, 136, 138]","[116, 118, 120, 122, 128, 130, 132, 134, 136, 138]","[116, 118, 120, 122, 128, 130, 132, 134, 136, 138]",[],[],[]
100K::4::information_extraction::1,100K,4,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[151],[151],[151],[],[],[]
100K::4::information_extraction::2,100K,4,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,,"[166, 167]","[166, 167]","[166, 167]",[],[],[]
100K::4::instruction_following::1,100K,4,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,4,4,4,0,0,0,,"[132, 134, 136, 138]","[132, 134, 136, 138]","[132, 134, 136, 138]",[],[],[]
100K::4::instruction_following::2,100K,4,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,4,4,4,0,0,0,,"[132, 134, 136, 138]","[132, 134, 136, 138]","[132, 134, 136, 138]",[],[],[]
100K::4::knowledge_update::1,100K,4,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[82, 130]","[82, 130]","[82, 130]",[],[],[]
100K::4::knowledge_update::2,100K,4,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[30, 58]","[30, 58]","[30, 58]",[],[],[]
100K::4::multi_session_reasoning::1,100K,4,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[30, 58]","[30, 58]","[30, 58]",[],[],[]
100K::4::multi_session_reasoning::2,100K,4,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[82, 110]","[82, 110]","[82, 110]",[],[],[]
100K::4::preference_following::1,100K,4,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[116],[116],[116],[],[],[]
100K::4::preference_following::2,100K,4,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[198],[198],[198],[],[],[]
100K::4::summarization::1,100K,4,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,5,5,5,0,0,0,,"[76, 79, 81, 85, 89]","[76, 79, 81, 85, 89]","[76, 79, 81, 85, 89]",[],[],[]
100K::4::summarization::2,100K,4,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,11,11,11,0,0,0,,"[144, 145, 147, 150, 151, 152, 153, 158, 159, 162, 163]","[144, 145, 147, 150, 151, 152, 153, 158, 159, 162, 163]","[144, 145, 147, 150, 151, 152, 153, 158, 159, 162, 163]",[],[],[]
100K::4::temporal_reasoning::1,100K,4,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[32, 156]","[32, 156]","[32, 156]",[],[],[]
100K::4::temporal_reasoning::2,100K,4,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[30, 82]","[30, 82]","[30, 82]",[],[],[]
100K::5::contradiction_resolution::1,100K,5,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[36, 66]","[36, 66]","[36, 66]",[],[],[]
100K::5::contradiction_resolution::2,100K,5,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,5,5,5,0,0,0,,"[84, 86, 88, 134, 136]","[84, 86, 88, 134, 136]","[84, 86, 88, 134, 136]",[],[],[]
100K::5::event_ordering::1,100K,5,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,12,12,12,0,0,0,,"[6, 10, 14, 34, 16, 18, 30, 20, 24, 50, 56, 58]","[6, 10, 14, 34, 16, 18, 30, 20, 24, 50, 56, 58]","[6, 10, 14, 16, 18, 20, 24, 30, 34, 50, 56, 58]",[],[],[]
100K::5::event_ordering::2,100K,5,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[28, 76]","[28, 76]","[28, 76]",[],[],[]
100K::5::information_extraction::1,100K,5,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[16],[16],[16],[],[],[]
100K::5::information_extraction::2,100K,5,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[32],[32],[32],[],[],[]
100K::5::instruction_following::1,100K,5,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[64],[64],[64],[],[],[]
100K::5::instruction_following::2,100K,5,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[132],[132],[132],[],[],[]
100K::5::knowledge_update::1,100K,5,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[44, 62]","[44, 62]","[44, 62]",[],[],[]
100K::5::knowledge_update::2,100K,5,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,4,4,4,0,0,0,,"[84, 86, 88, 130]","[84, 86, 88, 130]","[84, 86, 88, 130]",[],[],[]
100K::5::multi_session_reasoning::1,100K,5,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,,"[28, 29, 76]","[28, 29, 76]","[28, 29, 76]",[],[],[]
100K::5::multi_session_reasoning::2,100K,5,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,,"[30, 96, 226]","[30, 96, 226]","[30, 96, 226]",[],[],[]
100K::5::preference_following::1,100K,5,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[60],[60],[60],[],[],[]
100K::5::preference_following::2,100K,5,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[60],[60],[60],[],[],[]
100K::5::summarization::1,100K,5,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,9,9,9,0,0,0,,"[6, 7, 11, 13, 15, 31, 43, 57, 59]","[6, 7, 11, 13, 15, 31, 43, 57, 59]","[6, 7, 11, 13, 15, 31, 43, 57, 59]",[],[],[]
100K::5::summarization::2,100K,5,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,10,10,10,0,0,0,,"[140, 141, 146, 149, 151, 153, 155, 156, 180, 181]","[140, 141, 146, 149, 151, 153, 155, 156, 180, 181]","[140, 141, 146, 149, 151, 153, 155, 156, 180, 181]",[],[],[]
100K::5::temporal_reasoning::1,100K,5,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,1,1,0,0,1,,"[84, 84]",[84],[84],[],[],[84]
100K::5::temporal_reasoning::2,100K,5,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[138, 186]","[138, 186]","[138, 186]",[],[],[]
100K::6::contradiction_resolution::1,100K,6,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[22, 48]","[22, 48]","[22, 48]",[],[],[]
100K::6::contradiction_resolution::2,100K,6,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[82, 96]","[82, 96]","[82, 96]",[],[],[]
100K::6::event_ordering::1,100K,6,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,6,6,6,0,0,0,,"[4, 60, 110, 156, 206, 6]","[4, 60, 110, 156, 206, 6]","[4, 6, 60, 110, 156, 206]",[],[],[]
100K::6::event_ordering::2,100K,6,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[18, 56, 108, 176, 244]","[18, 56, 108, 176, 244]","[18, 56, 108, 176, 244]",[],[],[]
100K::6::information_extraction::1,100K,6,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[18],[18],[18],[],[],[]
100K::6::information_extraction::2,100K,6,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,,"[24, 25]","[24, 25]","[24, 25]",[],[],[]
100K::6::instruction_following::1,100K,6,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[46],[46],[46],[],[],[]
100K::6::instruction_following::2,100K,6,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[194],[194],[194],[],[],[]
100K::6::knowledge_update::1,100K,6,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[62, 92]","[62, 92]","[62, 92]",[],[],[]
100K::6::knowledge_update::2,100K,6,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[182, 192]","[182, 192]","[182, 192]",[],[],[]
100K::6::multi_session_reasoning::1,100K,6,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,4,4,4,0,0,0,,"[28, 72, 122, 158]","[28, 72, 122, 158]","[28, 72, 122, 158]",[],[],[]
100K::6::multi_session_reasoning::2,100K,6,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,6,6,6,0,0,0,,"[22, 92, 136, 23, 93, 137]","[22, 92, 136, 23, 93, 137]","[22, 23, 92, 93, 136, 137]",[],[],[]
100K::6::preference_following::1,100K,6,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[74],[74],[74],[],[],[]
100K::6::preference_following::2,100K,6,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[222],[222],[222],[],[],[]
100K::6::summarization::1,100K,6,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,5,5,5,0,0,0,,"[1, 5, 7, 57, 111]","[1, 5, 7, 57, 111]","[1, 5, 7, 57, 111]",[],[],[]
100K::6::summarization::2,100K,6,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,6,6,6,0,0,0,,"[15, 19, 71, 93, 139, 191]","[15, 19, 71, 93, 139, 191]","[15, 19, 71, 93, 139, 191]",[],[],[]
100K::6::temporal_reasoning::1,100K,6,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[14, 16]","[14, 16]","[14, 16]",[],[],[]
100K::6::temporal_reasoning::2,100K,6,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[120, 186]","[120, 186]","[120, 186]",[],[],[]
100K::7::contradiction_resolution::1,100K,7,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[38, 52]","[38, 52]","[38, 52]",[],[],[]
100K::7::contradiction_resolution::2,100K,7,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[80, 114]","[80, 114]","[80, 114]",[],[],[]
100K::7::event_ordering::1,100K,7,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[14, 64, 124, 170, 214]","[14, 64, 124, 170, 214]","[14, 64, 124, 170, 214]",[],[],[]
100K::7::event_ordering::2,100K,7,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[16, 54, 122, 168, 216]","[16, 54, 122, 168, 216]","[16, 54, 122, 168, 216]",[],[],[]
100K::7::information_extraction::1,100K,7,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[14],[14],[14],[],[],[]
100K::7::information_extraction::2,100K,7,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,,"[14, 15]","[14, 15]","[14, 15]",[],[],[]
100K::7::instruction_following::1,100K,7,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[112],[112],[112],[],[],[]
100K::7::instruction_following::2,100K,7,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[160],[160],[160],[],[],[]
100K::7::knowledge_update::1,100K,7,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[82, 110]","[82, 110]","[82, 110]",[],[],[]
100K::7::knowledge_update::2,100K,7,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[116, 158]","[116, 158]","[116, 158]",[],[],[]
100K::7::multi_session_reasoning::1,100K,7,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[24, 66, 126, 172, 220]","[24, 66, 126, 172, 220]","[24, 66, 126, 172, 220]",[],[],[]
100K::7::multi_session_reasoning::2,100K,7,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,,"[154, 252]","[154, 252]","[154, 252]",[],[],[]
100K::7::preference_following::1,100K,7,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[94],[94],[94],[],[],[]
100K::7::preference_following::2,100K,7,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[40],[40],[40],[],[],[]
100K::7::summarization::1,100K,7,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,5,5,5,0,0,0,,"[14, 64, 124, 170, 214]","[14, 64, 124, 170, 214]","[14, 64, 124, 170, 214]",[],[],[]
100K::7::summarization::2,100K,7,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,6,6,6,0,0,0,,"[16, 54, 56, 152, 168, 216]","[16, 54, 56, 152, 168, 216]","[16, 54, 56, 152, 168, 216]",[],[],[]
100K::7::temporal_reasoning::1,100K,7,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[116, 24]","[116, 24]","[24, 116]",[],[],[]
100K::7::temporal_reasoning::2,100K,7,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[80, 174]","[80, 174]","[80, 174]",[],[],[]
100K::8::contradiction_resolution::1,100K,8,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,3,3,3,0,0,0,,"[16, 18, 50]","[16, 18, 50]","[16, 18, 50]",[],[],[]
100K::8::contradiction_resolution::2,100K,8,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[86, 104]","[86, 104]","[86, 104]",[],[],[]
100K::8::event_ordering::1,100K,8,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[8, 58, 116, 174, 228]","[8, 58, 116, 174, 228]","[8, 58, 116, 174, 228]",[],[],[]
100K::8::event_ordering::2,100K,8,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,,"[6, 56, 114, 172, 226]","[6, 56, 114, 172, 226]","[6, 56, 114, 172, 226]",[],[],[]
100K::8::information_extraction::1,100K,8,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[10],[10],[10],[],[],[]
100K::8::information_extraction::2,100K,8,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,,"[10, 11]","[10, 11]","[10, 11]",[],[],[]
100K::8::instruction_following::1,100K,8,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[48],[48],[48],[],[],[]
100K::8::instruction_following::2,100K,8,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[216],[216],[216],[],[],[]
