audit_question_id,tier,conversation_id,ability,category,source_shape,source_chat_ids_json,conversation_reference_json,conversation_references_json,ambiguous_source_ids,all_ambiguous_occurrences_text_identical,source_parse_error,public_annotation_keys
1M::5::multi_session_reasoning::2,1M,5,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[79, 233, 234, 235, 214, 215, 397, 398, 399, 594, 595, 610, 611]",null,"[""chat_id: 79 - Handling JWT token revocation across devices with Redis"", ""chat_id: 233-235 - Managing multi-device logins and device-specific token revocation"", ""chat_id: 397-399 - Refresh token rotation and device notification strategies"", ""chat_id: 594-611 - Implementing IP whitelisting for WebSocket admin endpoints"", ""chat_id: 214-215 - Secure and efficient refresh token rotation with Redis""]",[79],False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
1M::5::summarization::1,1M,5,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[6, 7, 9, 11, 25]",null,null,"[6, 7, 9, 11, 25]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::5::summarization::2,1M,5,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[76, 77, 79, 215, 225, 415]",null,null,"[76, 77, 79]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::5::temporal_reasoning::1,1M,5,temporal_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""first_event"": [108], ""second_event"": [268]}",null,"[""Session 1: Sprint 1 planning"", ""Session 2: Sprint 2 planning""]",[108],False,,"[""answer"", ""calculation_required"", ""conversation_references"", ""difficulty"", ""question"", ""rubric"", ""source_chat_ids"", ""temporal_type"", ""time_points""]"
1M::8::summarization::2,1M,8,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
1M::16::summarization::1,1M,16,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""question"", ""rubric"", ""summarization_type""]"
1M::16::summarization::2,1M,16,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
1M::20::summarization::2,1M,20,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
1M::26::contradiction_resolution::1,1M,26,contradiction_resolution,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""first_statement"": [228, 230], ""second_statement"": [76, 82]}",null,"[""Session 228, 230: Never attended statement"", ""Session 76, 82: Attended webinar statement""]","[76, 82, 228, 230]",False,,"[""contradiction_type"", ""conversation_references"", ""difficulty"", ""ideal_answer"", ""question"", ""rubric"", ""source_chat_ids"", ""tests_for"", ""topic_questioned""]"
1M::26::event_ordering::1,1M,26,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[80, 86, 88, 240, 258, 260, 262, 724, 742, 820, 1076, 1078, 1084, 1326, 1332, 1334, 1336, 1338, 1340, 1342, 1344, 1710, 1714, 1722, 1724, 1726, 1730, 1836, 1844, 1850]",null,"[""chat_id: 80, 86, 88"", ""chat_id: 240, 258, 260, 262"", ""chat_id: 724, 742"", ""chat_id: 820"", ""chat_id: 1076, 1078, 1084"", ""chat_id: 1326, 1332, 1334, 1336, 1338, 1340, 1342, 1344"", ""chat_id: 1710, 1714, 1722, 1724, 1726, 1730"", ""chat_id: 1836, 1844, 1850""]","[80, 86, 88, 240, 258, 260, 262]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::26::event_ordering::2,1M,26,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[32, 38, 42, 274, 288, 506, 520, 526, 528, 530, 798, 800, 802, 808, 1020, 1026, 1032, 1034, 1278, 1284, 1288, 1556, 1562, 1572, 1794, 1800, 1804]",null,"[""chat_id 32, 38, 42"", ""chat_id 274, 288"", ""chat_id 506, 520, 526, 528, 530"", ""chat_id 798, 800, 802, 808"", ""chat_id 1020, 1026, 1032, 1034"", ""chat_id 1278, 1284, 1288"", ""chat_id 1556, 1562, 1572"", ""chat_id 1794, 1800, 1804""]","[32, 38, 42, 274, 288]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::26::information_extraction::1,1M,26,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[240],"""Turn 1: USER asked about making the most out of Nancy's training on May 8, 2024.""",null,[240],False,,"[""answer"", ""conversation_reference"", ""difficulty"", ""key_facts_tested"", ""question"", ""question_type"", ""rubric"", ""source_chat_ids""]"
1M::26::information_extraction::2,1M,26,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[303, 311, 313]","""Multiple turns: investment impact discussion, implementation plan, training and integration, pilot program, feedback collection, and evaluation steps""",null,"[303, 311, 313]",False,,"[""answer"", ""conversation_reference"", ""difficulty"", ""extraction_challenge"", ""key_facts_tested"", ""question"", ""question_type"", ""rubric"", ""source_chat_ids""]"
1M::26::instruction_following::2,1M,26,instruction_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[226],null,null,[226],False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""instruction_being_tested"", ""instruction_type"", ""non_compliance_signs"", ""question"", ""rubric"", ""source_chat_ids""]"
1M::26::multi_session_reasoning::1,1M,26,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[36, 250, 251, 1000, 1001, 1002, 1003, 1276, 1277, 1282, 1283, 1290, 246, 247, 248, 264, 265, 266, 267, 268, 269]",null,"[""chat_id: 36 (User revenue goal and growth target)"", ""chat_id: 250-251 (User increase in new client intake and revenue impact)"", ""chat_id: 1000-1003 (User workbook sales and data analysis)"", ""chat_id: 1276-1291 (User course sales revenue and participant goals)"", ""chat_id: 246-249 (User client intake growth and retention focus)"", ""chat_id: 264-269 (User telehealth integration and client intake expansion)""]","[36, 246, 247, 248, 250, 251, 264, 265, 266, 267, 268, 269]",False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
1M::26::multi_session_reasoning::2,1M,26,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[50, 60]",null,"[""marketing budget allocation"", ""technology upgrades budget""]","[50, 60]",False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
1M::26::preference_following::1,1M,26,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[210, 216, 222]",null,null,"[210, 216, 222]",False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""non_compliance_signs"", ""preference_being_tested"", ""preference_type"", ""question"", ""rubric"", ""source_chat_ids""]"
1M::26::summarization::1,1M,26,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[51, 61, 67, 299, 549, 559, 843, 849, 1051, 1063, 1307, 1313, 1315, 1321, 1575]",null,null,"[51, 61, 67, 299]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::26::summarization::2,1M,26,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[56, 57, 59, 65, 75, 653, 819, 1023, 1383, 1665, 1671, 1923, 1945]",null,null,"[56, 57, 59, 65, 75]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::33::event_ordering::1,1M,33,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[[164, 166, 168, 176, 178, 180, 190, 192, 194], [348, 350, 356, 358, 362, 364], [578, 580, 588, 590, 592, 596], [784, 792, 794, 796, 806, 808], [1114, 1118, 1124, 1276, 1282, 1292], [1664, 1668, 1674, 1678], [1852, 1856, 1858, 1864, 1866], [1986, 1996]]",null,"[""Session 164-190: Band hiring and performance details"", ""Session 348-364: Task assignments and RSVPs"", ""Session 578-596: Jazz trivia game planning"", ""Session 784-808: Surprise elements and party timing"", ""Session 1114-1292: Finalizing trivia and playlist"", ""Session 1664-1678: Toast and party personalization"", ""Session 1852-1866: Party success and guest interaction"", ""Session 1986-1996: Future event collaboration""]","[164, 166, 168, 176, 178, 180, 190, 192, 194]",False,,"[""answer"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::33::event_ordering::2,1M,33,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[64, 66, 68, 78, 82, 432, 436, 446, 448, 732, 736, 738, 742, 746, 1378, 1384, 1390, 1392, 1802, 2002, 2014, 2022]",null,"[""64, 66, 68, 78, 82"", ""432, 436, 446, 448"", ""732, 736, 738, 742, 746"", ""1378, 1384, 1390, 1392"", ""1802, 2002, 2014, 2022""]","[64, 66, 68, 78, 82]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::33::information_extraction::1,1M,33,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[144],"""Turn 4: USER: Cynthia is allergic to shellfish, so I definitely need to avoid serving any shrimp or crab dishes. Let's stick with safe options for her.""",null,[144],False,,"[""answer"", ""conversation_reference"", ""difficulty"", ""key_facts_tested"", ""question"", ""question_type"", ""rubric"", ""source_chat_ids""]"
1M::33::multi_session_reasoning::2,1M,33,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[145, 345, 353, 751, 1109, 1313]",null,"[""chat_id 145 - shellfish allergy and safe menu"", ""chat_id 345 - vegetarian guest accommodations"", ""chat_id 353 - gluten intolerance accommodations"", ""chat_id 751 - managing increased guest count and seating"", ""chat_id 1109 - handling combined vegetarian and gluten-free needs"", ""chat_id 1313 - ensuring allergy safety and cross-contamination prevention""]",[145],False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
1M::33::summarization::1,1M,33,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[164, 165, 167, 169, 176, 177, 179, 181, 244, 245, 256, 326, 327, 329, 368, 369, 373, 880, 881, 883, 895, 902, 903, 905, 1134, 1139, 1145, 622, 623, 625, 686, 687, 695, 697, 706, 707]",null,null,"[164, 165, 167, 169, 176, 177, 179, 181]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::33::summarization::2,1M,33,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[58, 59, 60, 61, 62, 63, 72, 73, 80, 81, 392, 393, 410, 411, 412, 413, 414, 415, 418, 419, 688, 689, 698, 699, 708, 709, 1024, 1025, 1026, 1027, 1034, 1035, 1036, 1037, 1038, 1039, 1190, 1191, 1198, 1199, 1204, 1205, 1294, 1295, 1302, 1303, 1304, 1305, 1310, 1311, 1644, 1645, 1650, 1651, 1652, 1653, 1654, 1655, 1656, 1657, 1658, 1659, 1662, 1663, 1798, 1799, 1880, 1881, 1882, 1883, 1884, 1885, 1892, 1893]",null,null,"[58, 59, 60, 61, 62, 63, 72, 73, 80, 81]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::34::contradiction_resolution::1,1M,34,contradiction_resolution,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""first_statement"": [592], ""second_statement"": [456, 464, 472]}",null,"[""Session 592: Never attended statement"", ""Sessions 456, 464, 472: References to attending seminar and networking""]","[456, 464, 472, 592]",False,,"[""contradiction_type"", ""conversation_references"", ""difficulty"", ""ideal_answer"", ""question"", ""rubric"", ""source_chat_ids"", ""tests_for"", ""topic_questioned""]"
1M::34::contradiction_resolution::2,1M,34,contradiction_resolution,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""first_statement"": [1086, 1088, 1090], ""second_statement"": [878, 880, 884, 892, 894, 896]}",null,"[""Session 878, 880, 884, 892, 894, 896"", ""Session 1086, 1088, 1090""]","[878, 880, 884, 892, 894, 896]",False,,"[""contradiction_type"", ""conversation_references"", ""difficulty"", ""ideal_answer"", ""question"", ""rubric"", ""source_chat_ids"", ""tests_for"", ""topic_questioned""]"
1M::34::event_ordering::1,1M,34,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[[42, 46, 48, 52], [344, 348, 354, 358], [598, 600, 602, 612, 614, 616, 622, 624], [850, 860, 862, 864, 870], [1096, 1390, 1392, 1398, 1400, 1402, 1408, 1410, 1412, 1414], [1614, 1620, 1624, 1626, 1628, 1630]]",null,"[""42, 46, 48, 52"", ""344, 348, 354, 358"", ""598, 600, 602, 612, 614, 616, 622, 624"", ""850, 860, 862, 864, 870"", ""1096, 1390, 1392, 1398, 1400, 1402, 1408, 1410, 1412, 1414"", ""1614, 1620, 1624, 1626, 1628, 1630""]","[42, 46, 48, 52, 344, 348, 354, 358, 598, 600, 602, 612, 614, 616, 622, 624, 850, 860, 862, 864, 870]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::34::event_ordering::2,1M,34,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[[124, 126, 128, 136, 138, 140, 154], [412, 422, 424, 430], [654, 656, 666], [940, 942, 954, 956, 964], [1220, 1228, 1232, 1234], [1462, 1470, 1476], [1728, 1740, 1742]]",null,"[""Stage rental and logistics inquiries (chat_ids 124, 126, 128, 136, 138, 140, 154)"", ""Social media campaign and follower engagement (chat_ids 412, 422, 424, 430)"", ""Facebook ad budget and strategy (chat_ids 654, 656, 666)"", ""Influencer partnerships and content planning (chat_ids 940, 942, 954, 956, 964)"", ""Radio ad campaign budget and strategy (chat_ids 1220, 1228, 1232, 1234)"", ""Marketing strategy including jazz trio addition (chat_ids 1462, 1470, 1476)"", ""Assessment of radio ad impact and social media engagement (chat_ids 1728, 1740, 1742)""]","[124, 126, 128, 136, 138, 140, 154, 412, 422, 424, 430, 654, 656, 666]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::34::information_extraction::1,1M,34,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[850],"""Turn 1: USER message about agreeing to the payment increase""",null,[850],False,,"[""answer"", ""conversation_reference"", ""difficulty"", ""key_facts_tested"", ""question"", ""question_type"", ""rubric"", ""source_chat_ids""]"
1M::34::information_extraction::2,1M,34,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[411, 417, 427]","""Multiple turns: initial sponsorship goals mention, detailed sponsorship plan with levels and benefits, advice on focusing efforts and leveraging past sponsors, and outreach strategies""",null,"[411, 417, 427]",False,,"[""answer"", ""conversation_reference"", ""difficulty"", ""extraction_challenge"", ""key_facts_tested"", ""question"", ""question_type"", ""rubric"", ""source_chat_ids""]"
1M::34::instruction_following::1,1M,34,instruction_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[838, 840, 842]",null,null,"[838, 840, 842]",False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""instruction_being_tested"", ""instruction_type"", ""non_compliance_signs"", ""question"", ""rubric"", ""source_chat_ids""]"
1M::34::knowledge_update::1,1M,34,knowledge_update,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""original_info"": [706, 712, 720], ""updated_info"": [836]}",null,"[""Early bird tickets sold: 400 as of April 1, 27% of total 1,500 target."", ""Early bird ticket sales reached 450 by April 3, slightly ahead of projections.""]","[706, 712, 720, 836]",False,,"[""answer"", ""conversation_references"", ""difficulty"", ""potential_confusion"", ""question"", ""rubric"", ""source_chat_ids"", ""tests_retention_of"", ""update_type""]"
1M::34::multi_session_reasoning::1,1M,34,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[44, 1429, 1427]",null,"[""Ensuring Kathleen's 10 artisan stalls will be a good addition"", ""Replacing two food stalls that cancelled"", ""Vendor confirmations and cancellations""]",[44],False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
1M::34::multi_session_reasoning::2,1M,34,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[45, 59, 627, 879, 1429, 1423]",null,"[""Ensuring Kathleen's artisan stalls add value and early confirmation timing"", ""Coordinating Kathleen's stalls and Steve's performance"", ""Managing limited security staff and crowd safety"", ""Handling DJ Mert's payment increase and budget impact"", ""Replacing last-minute vendor cancellations"", ""Prioritizing tasks and delegating responsibilities""]","[45, 59, 627, 879]",False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
1M::34::preference_following::1,1M,34,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[280, 288, 290, 298, 300, 302, 306]",null,null,"[280, 288, 290, 298, 300, 302, 306]",False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""non_compliance_signs"", ""preference_being_tested"", ""preference_type"", ""question"", ""rubric"", ""source_chat_ids""]"
1M::34::preference_following::2,1M,34,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[820],null,null,[820],False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""non_compliance_signs"", ""preference_being_tested"", ""preference_type"", ""question"", ""rubric"", ""source_chat_ids""]"
1M::34::summarization::1,1M,34,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[84, 99, 101, 103, 360, 373, 379, 652, 658, 660, 669, 904, 913, 917, 929, 1151, 1173, 1443, 1447, 1451, 1457, 1459, 1461]",null,null,"[84, 99, 101, 103, 360, 373, 379, 652, 658, 660, 669, 904, 913, 917, 929]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::34::summarization::2,1M,34,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[436, 443, 449, 451, 726, 727, 733, 739, 992, 993, 1004]",null,null,"[436, 443, 449, 451, 726, 727, 733, 739]",False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
1M::34::temporal_reasoning::1,1M,34,temporal_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""first_event"": [54], ""second_event"": [1442]}",null,"[""Session 54: planning outreach to Kathleen"", ""Session 1442: falafel vendor withdrawal""]",[54],False,,"[""answer"", ""calculation_required"", ""conversation_references"", ""difficulty"", ""question"", ""rubric"", ""source_chat_ids"", ""temporal_type"", ""time_points""]"
1M::34::temporal_reasoning::2,1M,34,temporal_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,DICT,"{""first_event"": [628], ""second_event"": [1148]}",null,"[""Session with puppet show timing"", ""Session with face painting timing""]",[628],False,,"[""answer"", ""calculation_required"", ""conversation_references"", ""difficulty"", ""question"", ""rubric"", ""source_chat_ids"", ""temporal_type"", ""time_points""]"
10M::4::summarization::1,10M,4,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""plan_reference"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
10M::4::summarization::2,10M,4,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""plan_reference"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
10M::5::summarization::1,10M,5,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""plan_reference"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
10M::6::event_ordering::1,10M,6,event_ordering,MALFORMED_CONTRADICTORY,LIST,"[[2080, 2086, 2092], [2478, 2484, 2490], [2860, 2866, 2872], [3838, 3844, 3850], [3248], [3442, 3448, 3456, 3458, 3460], [""--""]]",null,"[""Initial consideration of ukulele skills for lectures at New Jeffreytown University and Campus Plaza events"", ""Integration of ukulele into cultural lecture at Campus Hall"", ""Planning a ukulele demo for a university event at Campus Plaza"", ""Planning a ukulele snippet for a lecture at Campus Hall"", ""Planning to mention ukulele learning in a seminar at Campus Plaza"", ""Considering a ukulele workshop for students at Campus Hall"", ""Dreaming of small university gigs at Campus Plaza""]",[],False,unsupported source ID node str,"[""answer"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""plan_reference"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
10M::10::summarization::2,10M,10,summarization,SOURCE_AMBIGUOUS_OR_MISSING,ABSENT,null,null,null,[],False,,"[""bullet_points_covered"", ""conversation_sessions"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""plan_reference"", ""question"", ""rubric"", ""summarization_type"", ""synthesis_required""]"
