priority,audit_value,file_role,feeds_published,could_contradict,path
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.3,analysis_code,0.79,0.7,hr-consolidation/audit_v52_t4c1/repro/02_independent_aggregation.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.3,analysis_code,0.77,0.69,verify_ok/audit_v52_t4c1/repro/02_independent_aggregation.py
A3_UNVERIFIED_CLAIMS,2.3,report,0.55,0.57,pilots/axis_attack_2026-09-12/round2/r2b_learned_selection.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.29,report,0.55,0.67,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/muse_pilot_review.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.29,analysis_code,0.73,0.7,agent_out/axis-budget/coord_readout.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.29,producer_code,0.53,0.72,agent_out/coord-baseline/clip_heldout.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.29,report,0.59,0.71,pilots/axis_attack_2026-09-12/muse_pilot_review.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.29,result_data,0.55,0.69,pilots/axis_attack_2026-09-12/round3/deney1_loco_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.27,result_data,0.78,0.74,incoming_20260916/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/paired_metric_differences.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.27,result_data,0.73,0.65,hr-consolidation/audit_v52_t4f0_codex_2026_08_31/estimand_summary.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.26,result_data,0.69,0.76,agent_out/axis-budget/evidence/coord_readout.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.26,result_data,0.6,0.73,pilots/axis_attack_2026-09-12/round3/missing_analyses/m1_kill_null/missing1_kill_null.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.25,result_data,0.76,0.76,residual8_pilot_r1/coordinator/VERIFIED_RESULTS.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.25,config_or_meta,0.59,0.64,theory_benchmark_test_v1/locomo/PRE_RUN.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.24,result_data,0.53,0.68,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/round3/deney1_loco_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.24,result_data,0.72,0.62,hr-consolidation/audit_v52_t4f0_restricted_refreeze_2026_08_31/estimand_summary.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.24,analysis_code,0.78,0.66,verify_top10/audit_v52_t4c1/repro/02_independent_aggregation.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.24,config_or_meta,0.49,0.76,pilots/axis_attack_2026-09-12/round3/missing_analyses/m3_c2ablation/c2x_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.23,result_data,0.56,0.72,drive/audit_layer/errors_conv_9.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.23,report,0.68,0.69,drive/t4d/V52_T4D_COMPUTE_REPORT.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.23,report,0.6,0.64,reports/muse_coldstart_review_2026-09-12.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.21,result_data,0.8,0.76,incoming_20260916b/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/paired_metric_differences.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.21,result_data,0.68,0.68,agent_out/bot64-survivor/evidence/survivor_corrected.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.21,result_data,0.67,0.79,agent_out/coord-baseline/clip_heldout.json
A2_FEEDS_PUBLISHED_NUMBERS,2.21,report,0.69,0.53,theory_benchmark_test_v1/lme/COORDINATOR_REVIEW.md
A3_UNVERIFIED_CLAIMS,2.21,report,0.39,0.43,math_discovery_2026_09_13/round4/norm_aware_sign_bounds/COORDINATOR_REVIEW.md
A4_WORTH_A_LOOK,2.21,result_data,0.52,0.59,verify_ok/audit_v52_t4f0_codex_2026_08_31/source_id_join.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.2,analysis_code,0.68,0.75,agent_out/coord-baseline/locus_prereg.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.2,log_or_scratch,0.58,0.74,agent_out/coord-baseline/v55_transfer.py
A3_UNVERIFIED_CLAIMS,2.2,report,0.4,0.6,drive/C0V9_POSITIVE_CONTROL_FAILURE_VERIFY_REPORT.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.19,result_data,0.71,0.64,verify_top10/audit_v52_t4f0_codex_2026_08_31/estimand_summary.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.19,result_data,0.68,0.7,drive/t4c3/V52_T4C3_tie_diagnostics.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.18,result_data,0.53,0.73,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/round3/missing_analyses/m1_kill_null/missing1_kill_null.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.18,result_data,0.54,0.75,pilots/axis_attack_2026-09-12/pilot_results_corrections.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.18,result_data,0.73,0.63,drive/t4c3/V52_T4C3_gold_cardinality.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.17,result_data,0.7,0.62,verify_top10/audit_v52_t4f0_restricted_refreeze_2026_08_31/estimand_summary.json
A3_UNVERIFIED_CLAIMS,2.16,report,0.54,0.46,math_discovery_2026_09_13/ranking_bounds/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.15,result_data,0.51,0.75,pilots/axis_attack_2026-09-12/round3/missing_analyses/m2_d2multi/d2x_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.14,result_data,0.71,0.64,verify_ok/audit_v52_t4f0_restricted_refreeze_2026_08_31/estimand_summary.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.14,result_data,0.43,0.73,pilots/axis_attack_2026-09-12/round3/deney1_lme_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.13,result_data,0.67,0.72,agent_out/bot64-survivor/evidence/survivor_tests.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.13,result_data,0.71,0.68,agent_out/f1-audit/evidence/frozen_lme_question_level.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.13,result_data,0.5,0.61,verify_top10/audit_v52_t4f0_codex_2026_08_31/question_census.csv
A4_WORTH_A_LOOK,2.13,result_data,0.42,0.56,hr-consolidation/audit_v52_t4f0_codex_2026_08_31/source_id_join.csv
A4_WORTH_A_LOOK,2.13,result_data,0.46,0.58,verify_ok/audit_v52_t4f0_codex_2026_08_31/question_census.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.12,analysis_code,0.7,0.7,agent_out/coord-baseline/resolution_limit.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.12,result_data,0.85,0.73,theory_benchmark_test_v1/locomo/per_query.jsonl
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.11,result_data,0.44,0.74,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/round3/deney1_lme_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.11,report,0.38,0.72,reports/muse_redteam_certification_2026-09-12.md
A3_UNVERIFIED_CLAIMS,2.11,report,0.39,0.53,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/round2/r2b_learned_selection.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.1,report,0.68,0.73,incoming_20260916b/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/BENCHMARK_RAPORU_2026-09-15.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.1,report,0.56,0.61,review_transfer/_ed2_docs/01b_ROUND2_ADDENDUM.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.1,producer_code,0.76,0.72,agent_out/axis-budget/run_sweep.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.1,result_data,0.54,0.69,drive/audit_layer/errors_conv_6.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.09,result_data,0.52,0.67,drive/audit_layer/errors_conv_3.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.08,result_data,0.46,0.7,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/pilot_results_corrections.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.08,result_data,0.71,0.65,agent_out/f1-audit/evidence/perm_diagnosis.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.08,analysis_code,0.76,0.67,verify_top10/audit_v52_t4c3/reproduce_raw_table_audit.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.08,result_data,0.53,0.7,drive/audit_layer/errors_conv_8.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.07,result_data,0.57,0.69,pilots/axis_attack_2026-09-12/per_axis.csv
A3_UNVERIFIED_CLAIMS,2.07,report,0.38,0.48,math_discovery_2026_09_13/round4/rank_crossing_certificates/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.06,result_data,0.73,0.7,residual8_pilot_r1/perltqa/ckpt_23.jsonl
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.06,result_data,0.55,0.74,agent_out/f1-audit/evidence/frozen_rt_details.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.06,result_data,0.54,0.69,pilots/axis_attack_2026-09-12/diagnostics.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,report,0.47,0.65,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/01b_ROUND2_ADDENDUM.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,result_data,0.4,0.71,residual8_pilot_r1/oracle/oracle_cases.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,result_data,0.78,0.7,agent_out/coord-baseline/baseline_strength.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,result_data,0.7,0.74,agent_out/coord-baseline/lit_replication.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,analysis_code,0.57,0.73,theory_benchmark_test_v1/locomo/verification.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,producer_code,0.42,0.74,pilots/axis_attack_2026-09-12/pilot_axis_attack.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,result_data,0.45,0.69,drive/audit_layer/errors_conv_4.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.05,result_data,0.72,0.72,drive/t4c3/V52_T4C3_rank_geometry.csv
A3_UNVERIFIED_CLAIMS,2.05,report,0.42,0.59,reports/muse_twelve_byte_audit_2026-09-12.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.04,analysis_code,0.75,0.68,hr-consolidation/audit_v52_t4c3/reproduce_raw_table_audit.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.04,result_data,0.54,0.71,drive/audit_layer/errors_conv_0.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.03,result_data,0.67,0.72,agent_out/axis-budget/evidence/axis_budget_results.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.03,result_data,0.75,0.76,agent_out/coord-baseline/v55_transfer.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.03,result_data,0.59,0.65,drive/t4c3/V52_T4C3_heterogeneity_alignment.csv
A2_FEEDS_PUBLISHED_NUMBERS,2.03,report,0.65,0.58,pilots/axis_attack_2026-09-12/round2/r2c_loco_replication.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.02,result_data,0.7,0.75,incoming_20260916b/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/results/performance.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.02,producer_code,0.75,0.71,incoming_20260916/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/scripts/optimized_comparison.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.02,analysis_code,0.38,0.69,residual8_pilot_r1/oracle_repair/red_probe_old.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.01,result_data,0.39,0.73,residual8_pilot_r1/oracle_repair/oracle_cases.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.01,analysis_code,0.73,0.71,agent_out/bot64-survivor/artifact_tests.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.01,analysis_code,0.54,0.64,agent_out/f1-audit/diag_perm.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.01,result_data,0.66,0.66,drive/t4c3/V52_T4C3_collision_diagnostics.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.01,result_data,0.67,0.65,drive/t4c3/V52_T4C3_question_level.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.01,result_data,0.59,0.61,math_discovery_2026_09_13/bit_allocation/coordinator_exact_results.json
A3_UNVERIFIED_CLAIMS,2.01,report,0.49,0.59,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/01c_ROUND3_ADDENDUM.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.0,producer_code,0.75,0.71,incoming_20260916b/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/scripts/optimized_comparison.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.0,result_data,0.83,0.73,theory_benchmark_test_v1/lme/per_query.jsonl
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.0,result_data,0.74,0.73,theory_benchmark_test_v1/locomo/ckpt/ci_9.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.0,producer_code,0.4,0.71,pilots/axis_attack_2026-09-12/round3/missing_analyses/m3_c2ablation/c2x.py
A4_WORTH_A_LOOK,2.0,result_data,0.46,0.58,verify_top10/audit_v52_t4f0_codex_2026_08_31/source_id_join.csv
A4_WORTH_A_LOOK,1.99,analysis_code,0.43,0.55,incoming_20260916/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/check_ndcg_ties.py
A4_WORTH_A_LOOK,1.99,result_data,0.71,0.72,incoming_20260916/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/latest_quality_reaggregated.csv
A4_WORTH_A_LOOK,1.99,analysis_code,0.75,0.69,verify_ok/audit_v52_t4c3/reproduce_raw_table_audit.py
A4_WORTH_A_LOOK,1.97,analysis_code,0.62,0.62,verify_top10/audit_v52_t4c1/repro/01_structural_integrity.py
A4_WORTH_A_LOOK,1.97,config_or_meta,0.51,0.77,pilots/axis_attack_2026-09-12/round3/muse_sessions/c2/c2_details.json
A4_WORTH_A_LOOK,1.96,report,0.59,0.67,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/01_CANONICAL_STATUS.md
A4_WORTH_A_LOOK,1.96,producer_code,0.66,0.7,theory_benchmark_test_v1/lme/verification.py
A4_WORTH_A_LOOK,1.96,result_data,0.73,0.57,drive/t4c3/V52_T4C3_archive_size.csv
A4_WORTH_A_LOOK,1.95,report,0.71,0.59,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/round2/r2v_verification.md
A4_WORTH_A_LOOK,1.95,analysis_code,0.55,0.61,hr-consolidation/audit_v52_t4c1/repro/01_structural_integrity.py
A4_WORTH_A_LOOK,1.95,result_data,0.39,0.7,drive/audit_layer/errors_conv_7.json
A4_WORTH_A_LOOK,1.94,result_data,0.64,0.73,incoming_20260916b/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/results/optimized_comparison.json
A4_WORTH_A_LOOK,1.94,report,0.41,0.49,residual8_pilot_r1/coordinator/ORACLE_CLOSEOUT.md
A4_WORTH_A_LOOK,1.93,analysis_code,0.38,0.55,incoming_20260916b/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/check_ndcg_ties.py
A4_WORTH_A_LOOK,1.93,report,0.65,0.75,incoming_20260916/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/BENCHMARK_RAPORU_2026-09-15.md
A4_WORTH_A_LOOK,1.93,result_data,0.39,0.61,hr-consolidation/audit_v52_t4f0_codex_2026_08_31/question_annotation_anomalies.csv
A4_WORTH_A_LOOK,1.93,result_data,0.46,0.6,hr-consolidation/audit_v52_t4f0_codex_2026_08_31/question_census.csv
A4_WORTH_A_LOOK,1.93,producer_code,0.49,0.74,agent_out/bot64-survivor/bot64.py
A4_WORTH_A_LOOK,1.92,report,0.53,0.54,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/round2/r2c_loco_replication.md
A4_WORTH_A_LOOK,1.92,result_data,0.69,0.66,residual8_pilot_r1/perltqa/ckpt_09.jsonl
A4_WORTH_A_LOOK,1.92,result_data,0.41,0.62,verify_top10/audit_v52_t4f0_codex_2026_08_31/question_annotation_anomalies.csv
A4_WORTH_A_LOOK,1.92,report,0.44,0.68,pilots/axis_attack_2026-09-12/round3/missing_analyses/m2_d2multi/d2x_report.md
A4_WORTH_A_LOOK,1.92,result_data,0.46,0.69,drive/audit_layer/errors_conv_5.json
A4_WORTH_A_LOOK,1.92,result_data,0.64,0.69,drive/t4c3/V52_T4C3_signed_permutation_control.csv
A4_WORTH_A_LOOK,1.91,result_data,0.7,0.75,incoming_20260916/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/results/performance.json
A4_WORTH_A_LOOK,1.91,result_data,0.65,0.64,regen/lme/code_certification_sign.json
A4_WORTH_A_LOOK,1.91,producer_code,0.41,0.73,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/pilot_axis_attack.py
A4_WORTH_A_LOOK,1.91,producer_code,0.47,0.74,residual8_pilot_r1/oracle_repair/build_oracle_repair.py
A4_WORTH_A_LOOK,1.91,result_data,0.72,0.67,residual8_pilot_r1/perltqa/ckpt_21.jsonl
A4_WORTH_A_LOOK,1.91,analysis_code,0.68,0.56,verify_top10/audit_v52_t4c1/repro/03_question_level_wtl.py
A4_WORTH_A_LOOK,1.9,analysis_code,0.52,0.68,incoming_20260916/extracted/LLMZIP_HATA_YERI_2026-09-16/LLMZIP_HATA_YERI_2026-09-16/readout_diagnostic.py
A4_WORTH_A_LOOK,1.9,result_data,0.69,0.79,parallel_ideas_r1/asymmetric/ckpt_lme_006.jsonl
A4_WORTH_A_LOOK,1.9,result_data,0.71,0.67,residual8_pilot_r1/perltqa/ckpt_06.jsonl
A4_WORTH_A_LOOK,1.9,result_data,0.72,0.68,residual8_pilot_r1/perltqa/ckpt_18.jsonl
A4_WORTH_A_LOOK,1.9,result_data,0.74,0.67,residual8_pilot_r1/perltqa/ckpt_25.jsonl
A4_WORTH_A_LOOK,1.9,result_data,0.75,0.7,agent_out/coord-baseline/k_and_ties.json
A4_WORTH_A_LOOK,1.9,report,0.45,0.64,pilots/axis_attack_2026-09-12/round3/DENEY1_REPORT.md
A4_WORTH_A_LOOK,1.9,result_data,0.56,0.7,drive/audit_layer/errors_conv_2.json
A4_WORTH_A_LOOK,1.9,report,0.35,0.36,math_discovery_2026_09_13/round3/joint_gold_bounds/COORDINATOR_REVIEW.md
A4_WORTH_A_LOOK,1.89,producer_code,0.49,0.5,incoming_20260916/extracted/LLMZIP_HATA_YERI_2026-09-16/LLMZIP_HATA_YERI_2026-09-16/check_weighted_packed.py
A4_WORTH_A_LOOK,1.89,report,0.63,0.54,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/muse_pilot_verify.md
A4_WORTH_A_LOOK,1.89,log_or_scratch,0.32,0.3,agent_out/coord-baseline/tautology_check.py
A4_WORTH_A_LOOK,1.89,result_data,0.77,0.72,theory_benchmark_test_v1/locomo/ckpt/ci_3.json
A4_WORTH_A_LOOK,1.89,result_data,0.56,0.66,pilots/axis_attack_2026-09-12/probe48.json
A4_WORTH_A_LOOK,1.89,config_or_meta,0.47,0.65,drive/t4c3/V52_T4C3_POST_RUN_MANIFEST.json
A4_WORTH_A_LOOK,1.88,analysis_code,0.85,0.74,incoming_20260916/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/scripts/report.py
A4_WORTH_A_LOOK,1.88,result_data,0.45,0.53,hr-consolidation/audit_v52_t4f0_codex_2026_08_31/SCALE_FEASIBILITY.csv
A4_WORTH_A_LOOK,1.88,analysis_code,0.69,0.55,verify_ok/audit_v52_t4c1/repro/03_question_level_wtl.py
A4_WORTH_A_LOOK,1.88,result_data,0.4,0.62,verify_ok/audit_v52_t4f0_codex_2026_08_31/question_annotation_anomalies.csv
A4_WORTH_A_LOOK,1.88,report,0.67,0.57,pilots/axis_attack_2026-09-12/muse_pilot_verify.md
A4_WORTH_A_LOOK,1.88,report,0.61,0.65,reports/muse_closure_verification_2026-09-12.md
A4_WORTH_A_LOOK,1.87,result_data,0.74,0.7,incoming_20260916b/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/latest_quality_reaggregated.csv
A4_WORTH_A_LOOK,1.87,result_data,0.33,0.7,review_transfer/_ed3_lite_stage/EXTERNAL_LLM_REVIEW_AXIS_PILOT_ED3_LITE/pilots/axis_attack_2026-09-12/per_axis.csv
A4_WORTH_A_LOOK,1.87,result_data,0.73,0.67,residual8_pilot_r1/perltqa/ckpt_19.jsonl
A4_WORTH_A_LOOK,1.87,report,0.58,0.57,pilots/axis_attack_2026-09-12/round3/missing_analyses/m1_kill_null/missing1_kill_null.md
A4_WORTH_A_LOOK,1.87,report,0.35,0.36,math_discovery_2026_09_13/bit_allocation/COORDINATOR_REVIEW.md
A4_WORTH_A_LOOK,1.87,report,0.33,0.39,math_discovery_2026_09_13/round2/allocation_optimality/COORDINATOR_REVIEW.md
A4_WORTH_A_LOOK,1.86,analysis_code,0.84,0.74,incoming_20260916b/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/scripts/report.py
A4_WORTH_A_LOOK,1.86,config_or_meta,0.54,0.75,incoming_20260916/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/results/build_selection.json
A4_WORTH_A_LOOK,1.86,result_data,0.62,0.73,incoming_20260916/extracted/LLMZIP_BENCHMARK_2026-09-15/LLMZIP_BENCHMARK_2026-09-15/results/optimized_comparison.json
A4_WORTH_A_LOOK,1.86,result_data,0.66,0.73,parallel_ideas_r1/asymmetric/ckpt_lme_032.jsonl
A4_WORTH_A_LOOK,1.86,report,0.3,0.69,residual8_pilot_r1/oracle_repair/REVIEW.md
A4_WORTH_A_LOOK,1.86,result_data,0.71,0.65,agent_out/coord-baseline/whitening_significance.json
A4_WORTH_A_LOOK,1.86,report,0.61,0.56,drive/t4c3/V52_T4C3_COMPUTE_REPORT.md
A4_WORTH_A_LOOK,1.85,analysis_code,0.69,0.57,hr-consolidation/audit_v52_t4c1/repro/03_question_level_wtl.py
