id,item,source_path,status,test_performed,observed_result
I06,D2/D3 bounded failure 0/12+0/4 repaired,parallel_ideas_r1/inverse_repair/per_case.jsonl,reviewed,row count 20 cases reread,L14 closest res 6.8e-4-3.3e-3 still >1e-5; GMRES 20/20 saturated
I07,independent residual replay MATCH 12/12,parallel_ideas_r1/inverse_repair/replay_residual.json,reviewed,file read NOT re-executed,first-row match:true wrapper parity 0.0; segment x_hat unsaved so no segment replay
I08,ledger encode/decode M1/M2 mutations,parallel_ideas_r1/inverse/inverse_lib.py:345-410,reviewed,code read + reconciled JSON,M1 bit-exact C1 M2 changes output per ledger_storage_reconciled.json 12/12
I09,storage same-dtype vs mixed-dtype accounting,parallel_ideas_r1/inverse_repair/ledger_storage_reconciled.json,reviewed,file read + arithmetic,FP32 695040 vs 737280 headroom no-win; BF16-hypo exceeds by 49920; generic4bit stronger
I10,original continuation hidden-injection not KV-only,parallel_ideas_r1/inverse/inverse_lib.py:439-478,reviewed,code read,full hidden replace at L14 + downstream recompute confirmed; PATCH||FULL direction confirmed
I11,repair kv_continuation true KV-only parity,parallel_ideas_r1/inverse_repair/kv_continuation.py + .json,reviewed,code read + rows verified,parity bit-exact 4/4; BUT full-sequence recompute not stepwise cache
I12,generic4bit scope mismatch all-24 vs prefix-16,parallel_ideas_r1/inverse_repair/kv_continuation.py:143-191,reviewed,code read,confirmed: src_for patches 16 ledger/noledger/direct4bit generic4bit quantizes full 24
I13,coordinator_inverse CHECK DISPOSITION REPAIR_CLOSEOUT,parallel_ideas_r1/coordinator_inverse/,reviewed,read all four files,findings reproduced in this audit except model re-execution
I14,chat-lit toy ledger/Newton limits,chat_literature_review_20260915/inverse/REPORT.md,reviewed,read-only no CSV re-parse,random-init MHA toys dense-Jacobian no-decode-metric; no transfer claim supported
P01,published pilot KV/inverse substance,_wt_top10/.../CASE_FOR.md+LITERATURE_MAP.md,sampled,precise grep,only passing KV-cache mention; no KV/inverse experiment in pilot
P02,git history contains KV/inverse code,main repo object store via git log -S,sampled,3 pickaxe identifiers,0 hits: local-research-only never merged
P03,prior audit_hard_r1 KV/inverse coverage,audit_hard_r1/CONSOLIDATED_AUDIT.md+repro,reviewed,grep + read,explicitly lists KV/inverse as NOT REVIEWED; consistent with this role
N01,model-loaded re-execution of any run.py/tests.py,parallel_ideas_r1/{kv inverse} + repairs,NOT RUN,none - exceeds 180s probe budget,requires local SmolLM2 load; rows/logs/code verified instead
N02,timing re-measurement on CPU,all lines,NOT RUN,none,methodology code-reviewed only; contention caveat accepted
N03,40x100 Newton probe (repair explicit non-follow),inverse line,NOT RUN,none,proposed by original report but not run by repair; failure is budget-scoped
N04,BF16 numerics,all lines,NOT RUN,none,all numbers FP32-executed; BF16 columns arithmetic-only as disclosed
N05,segment final-residual independent replay,inverse_repair (x_hat unsaved),NOT RUN,blocked,coordinator closeout confirms x_hat NOT saved; do not report 16/16 verified
N06,chat-lit raw CSV re-parse (180+45 rows),chat_literature_review_20260915/input,NOT RUN,none,report's re-parsed medians accepted as read-only claims; toy scope undisputed
