question_id,question_type,N_archive,gold_count,reuse_count,reuse_tertile,archive_quartile,gold_stratum,float96_uncentered_any_r3,float96_uncentered_all_r3,float96_uncentered_fractional_r3,float96_centered_any_r3,float96_centered_all_r3,float96_centered_fractional_r3,sign96_centered_any_r3,sign96_centered_all_r3,sign96_centered_fractional_r3,itq96_centered_any_r3,itq96_centered_all_r3,itq96_centered_fractional_r3,sign_minus_centered_float_fractional_pp,centered_minus_uncentered_float_fractional_pp
129d1232,multi-session,451,3,17,medium,Q1,multi-gold,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,1.0,0.0,0.4,0.0,0.0
1568498a,single-session-assistant,478,1,13,low,Q2,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15745da0,single-session-user,474,1,15,low,Q1,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.0,0.0
157a136e,multi-session,503,3,12,low,Q3,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666665,0.0,0.0,0.0,66.66666666666666,0.0
16c90bf4,single-session-assistant,509,1,20,high,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
184da446,knowledge-update,473,2,11,low,Q1,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.0,0.0
18bc8abd,knowledge-update,436,2,18,medium,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
18dcd5a5,single-session-assistant,503,1,25,high,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0
1903aded,single-session-assistant,486,1,14,low,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.72,0.72,0.72,-40.0,0.0
195a1a1b,single-session-preference,515,1,18,medium,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,55.00000000000001,0.0
19b5f2b3,single-session-user,482,1,13,low,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.0,0.0
1a1907b4,single-session-preference,532,1,13,low,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a8a66a6,multi-session,501,3,19,high,Q3,multi-gold,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,1.0,0.0,0.6666666666666665,1.0,0.0,0.4,33.33333333333333,0.0
1b9b7252,single-session-assistant,466,1,14,low,Q1,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1c0ddc50,single-session-preference,548,2,16,medium,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1c549ce4,multi-session,462,2,20,high,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.2,0.0,0.1,0.0,0.0
1cea1afa,knowledge-update,485,2,12,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0
1d4da289,single-session-assistant,506,1,19,high,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.0,0.0
1d4e3b97,single-session-preference,474,2,23,high,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.8,0.31,0.555,0.0,0.0
1da05512,single-session-preference,462,2,16,medium,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,50.0,0.0
1de5cff2,single-session-assistant,473,1,13,low,Q1,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
1e043500,single-session-user,510,1,12,low,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1f2b8d4f,multi-session,522,2,20,high,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0
1faac195,single-session-user,494,1,18,medium,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2133c1b5,knowledge-update,523,2,17,medium,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.71,0.0,0.355,50.0,0.0
21436231,single-session-user,512,1,19,high,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
21d02d0d,multi-session,497,2,15,low,Q3,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.4,0.7,50.0,0.0
22d2cb42,knowledge-update,473,1,9,low,Q1,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2311e44b,multi-session,493,2,11,low,Q3,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.91,0.0,0.455,0.0,0.0
2318644b,multi-session,523,2,12,low,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
25e5aa4f,single-session-user,506,1,15,low,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2698e78f,knowledge-update,478,2,20,high,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.64,0.0,0.32,-50.0,0.0
26bdc477,knowledge-update,498,2,17,medium,Q3,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.775,0.85,0.71,0.78,-22.499999999999996,0.0
27016adc,multi-session,491,2,12,low,Q3,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.39,0.0,0.195,50.0,0.0
2788b940,multi-session,475,5,17,medium,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.0
28bcfaac,single-session-assistant,500,1,20,high,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
28dc39ac,multi-session,431,5,12,low,Q1,multi-gold,1.0,0.0,0.4,1.0,0.0,0.4,1.0,0.0,0.4,0.84,0.0,0.226,0.0,0.0
29f2956b,single-session-user,496,1,23,high,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.0,0.0
2a1811e2,temporal-reasoning,479,2,12,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.55,0.0,0.275,50.0,0.0
2b8f3739,multi-session,491,3,13,low,Q3,multi-gold,1.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.13333333333333333,0.0,-33.33333333333333
2bf43736,single-session-assistant,478,1,14,low,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2c63a862,temporal-reasoning,529,2,19,high,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.1,20.0,0.0
2ce6a0f2,multi-session,480,4,9,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e6d26dc,multi-session,494,4,19,high,Q3,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.12,0.0,0.03,50.0,0.0
2ebe6c90,temporal-reasoning,485,2,15,low,Q2,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2ebe6c92,temporal-reasoning,487,2,21,high,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311778f1,single-session-user,500,1,15,low,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
32260d93,single-session-preference,524,1,17,medium,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.55,0.2,0.2,0.2,55.00000000000001,0.0
3249768e,single-session-assistant,475,1,17,medium,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
352ab8bd,single-session-assistant,539,1,16,medium,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.68,0.68,0.68,100.0,0.0
35a27287,single-session-preference,519,3,19,high,Q4,multi-gold,1.0,0.0,0.6666666666666665,1.0,0.0,0.6666666666666665,1.0,0.0,0.33333333333333326,0.8,0.0,0.32666666666666666,-33.33333333333333,0.0
36580ce8,single-session-user,545,1,19,high,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,55.00000000000001,0.0
36b9f61e,multi-session,490,3,13,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.0
370a8ff4,temporal-reasoning,498,2,14,low,Q3,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.38,0.0,0.19,0.0,0.0
37d43f65,single-session-user,533,1,17,medium,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.95,0.0,0.0
37f165cf,multi-session,567,2,14,low,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.2,0.0,0.1,50.0,0.0
38146c39,single-session-preference,538,1,13,low,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a704032,multi-session,479,2,17,medium,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3b6f954b,single-session-user,470,1,20,high,Q1,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3ba21379,knowledge-update,431,2,13,low,Q1,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.175,0.2,0.0,0.1,17.5,0.0
3c1045c8,multi-session,542,2,13,low,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.45,0.725,1.0,0.0,0.5,22.499999999999996,0.0
3d86fd0a,single-session-user,526,1,20,high,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0
3e321797,single-session-assistant,490,1,15,low,Q2,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0
3f1e9474,single-session-user,515,1,19,high,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.55,0.55,0.0,0.0
3fdac837,multi-session,453,2,14,low,Q1,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0
3fe836c9,multi-session,449,2,15,low,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
4100d0a0,single-session-user,523,1,14,low,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.47,0.47,0.47,-30.000000000000004,0.0
41275add,single-session-assistant,531,1,15,low,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.0,0.0
41698283,knowledge-update,476,2,13,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.2,-50.0,0.0
42ec0761,knowledge-update,521,2,15,low,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.2,0.6,0.0,0.0
4388e9dd,single-session-assistant,477,1,12,low,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.55,0.55,0.75,0.75,0.75,-44.99999999999999,0.0
45dc21b6,knowledge-update,485,2,18,medium,Q2,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
46a3abf7,multi-session,503,3,17,medium,Q3,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.11666666666666665,0.2,0.0,0.06666666666666667,11.666666666666666,0.0
488d3006,single-session-assistant,509,1,13,low,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4adc0475,multi-session,490,2,15,low,Q2,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.4,0.66,0.0,0.0
4b24c848,knowledge-update,514,2,14,low,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.4,0.7,1.0,0.2,0.6,19.999999999999996,0.0
4baee567,single-session-assistant,514,1,16,medium,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4bc144e2,multi-session,530,2,22,high,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c36ccef,single-session-assistant,521,1,18,medium,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2,-100.0,0.0
4d6b87c8,knowledge-update,516,2,19,high,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
4dfccbf7,temporal-reasoning,521,2,17,medium,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.85,0.0,0.425,0.0,0.0
4dfccbf8,temporal-reasoning,455,1,17,medium,Q1,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4f54b7c9,multi-session,491,2,14,low,Q3,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.4,0.0,0.2,0.0,0.0
4fd1909e,single-session-user,554,1,15,low,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
5025383b,multi-session,446,2,19,high,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.88,0.0,0.44,-50.0,0.0
505af2f5,single-session-preference,501,1,21,high,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50635ada,knowledge-update,531,2,17,medium,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.275,0.0,0.0
51a45a95,single-session-user,529,1,16,medium,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
51b23612,single-session-assistant,481,1,20,high,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.46,0.46,0.0,0.0
51c32626,multi-session,490,2,21,high,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.52,0.0,0.26,0.0,0.0
54026fce,single-session-preference,472,1,16,medium,Q1,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.2,0.2,100.0,0.0
545bd2b5,single-session-user,461,1,14,low,Q1,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.0,0.0
55241a1f,multi-session,514,2,21,high,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.8,0.0,0.4,0.0,0.0
561fabcd,single-session-assistant,495,1,24,high,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577d4d32,single-session-user,487,1,13,low,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.0,0.0
57f827a0,single-session-preference,495,1,13,low,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5809eb10,single-session-assistant,606,1,15,low,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.51,0.0,0.0
5831f84d,knowledge-update,422,2,12,low,Q1,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0
58470ed2,single-session-assistant,471,1,27,high,Q1,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
58bf7951,single-session-user,616,1,22,high,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.76,0.76,0.76,-100.0,0.0
58ef2f1c,single-session-user,518,1,13,low,Q4,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.47,0.0,0.0
59524333,knowledge-update,528,2,22,high,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3,0.0,0.15,50.0,0.0
5a4f22c0,knowledge-update,487,2,18,medium,Q2,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49,0.745,0.0,0.0
5a7937c8,multi-session,419,3,10,low,Q1,multi-gold,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,1.0,0.0,0.6666666666666665,0.54,0.0,0.22666666666666666,33.33333333333333,0.0
5c40ec5b,knowledge-update,479,2,21,high,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.73,0.2,0.465,0.0,0.0
5d3d2817,single-session-user,510,1,16,medium,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0
5e1b23de,temporal-reasoning,445,1,15,low,Q1,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64,0.0,0.0
60036106,multi-session,483,2,8,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.74,0.0,0.37,0.0,0.0
60159905,multi-session,448,2,12,low,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
603deb26,knowledge-update,472,2,21,high,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
60472f9c,multi-session,454,2,16,medium,Q1,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6071bd76,knowledge-update,482,2,7,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.8,0.0,0.4,0.0,0.0
60bf93ed,multi-session,494,2,12,low,Q3,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6,0.655,0.0,0.0
60d45044,single-session-user,541,1,22,high,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.6,0.6,0.6,-80.0,0.0
618f13b2,knowledge-update,506,2,17,medium,Q3,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
61f8c8f8,multi-session,459,2,17,medium,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.8,0.0,0.4,0.0,0.0
6222b6eb,single-session-assistant,497,1,13,low,Q3,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6456829e,multi-session,488,2,15,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.8,0.0,0.4,0.0,0.0
