gate,item,requirement,result,basis,evidence
G3,item_3_6,EXECUTION_SPEC.md contains exactly one normative canary definition (CC-01 gone),PASS,own re-derivation,evidence/G3_single_source_rederivation.json
G3,item_3_7,gate blocks a reintroduced CC-01,PARTIAL,own fixture,evidence/G5_fixture_experiments.json F3 blocks; F3b and F3c evade
G3,item_3_8,coverage list not under-declared against the required concept set,FAIL,own re-derivation,evidence/G3_single_source_rederivation.json
G4,submission_status_immutable,seal records status at audit submission only,PASS,own re-derivation,evidence/G4_status_and_attestation.json
G4,seal_cannot_claim_acceptance,gate blocks a seal claiming acceptance,PARTIAL,own fixture,evidence/G5_fixture_experiments.json F4 and F4b block; F4c evades
G4,detached_attestation_sole_authority,detached hash-bound attestation is the sole authority for current state,FAIL,own re-derivation,evidence/G4_status_and_attestation.json
G5,package_preflight_positive,untouched package passes,PASS,own fixture,evidence/G5_fixture_experiments.json F0
G5,package_preflight_negative,changed checker blocks own negative fixtures,PARTIAL,own fixture,evidence/G5_fixture_experiments.json 12 of 18 as expected
G5,implementer_fixture_coverage,implementer fixtures read only for coverage; six adversary classes absent,OBSERVED,read-only inspection,task4f1_execution_candidate_v5_preflight_2026_09_02/SINGLE_SOURCE_GATE_FIXTURES.json
G6,runner_byte_identity_established,byte identity established so V4 audit results may be cited,PASS,own re-derivation,evidence/G2_v4_to_v5_change_isolation.json
G6,b1_no_replace_finalization,no-replace finalization and crash-temp behaviour,PASS,CITED from V4 audit,evidence/G6_v4_audit_manifest_verification.json
G6,b2_exact_gold_metric_recomputation,exact frozen-gold metric recomputation,PASS,CITED from V4 audit,evidence/G6_v4_audit_manifest_verification.json
G6,b3_native_signed_exact_top3_and_distance,exact Native/signed-control top-three and distance equality,PASS,CITED from V4 audit,evidence/G6_v4_audit_manifest_verification.json
G6,aggregation_schema,output schema and aggregation,PASS,CITED from V4 audit,evidence/G6_v4_audit_manifest_verification.json
G6,static_leakage,static leakage audit,PASS,CITED from V4 audit,evidence/G6_v4_audit_manifest_verification.json
G6,authorization_fail_closed,authorization fail-closed behaviour,PASS,own re-derivation plus citation,evidence/G7_authorization_failclosed.json
G6,canary_anchors_reproduced,canary sign digests reproduced on an independent BLAS build,PASS,own re-derivation,evidence/cli_preflight/auditor_cli_preflight.json
G7,literal_scan_line_split,deprecated-literal scan defeated by prose line wrapping,DEFECT,own fixture,evidence/G5_fixture_experiments.json F3b
G7,literal_scan_case,deprecated-literal scan defeated by uppercase hex,DEFECT,own fixture,evidence/G5_fixture_experiments.json F3c
G7,acceptance_reenters_under_alias,acceptance state re-enters the seal under a different field name,DEFECT,own fixture,evidence/G5_fixture_experiments.json F4c
G7,vacuous_empty_registry,emptied deprecated registry makes the scan vacuous,DEFECT,own fixture,evidence/G5_fixture_experiments.json F6
G7,vacuous_dropped_concept,deleting a load-bearing concept from the map is not detected,DEFECT,own fixture,evidence/G5_fixture_experiments.json F7
G7,new_untyped_normative_source,a new contradictory normative statement is not detected,DEFECT,own fixture,evidence/G5_fixture_experiments.json F10
G7,runner_reads_removed_seal_field,byte-identical runner reads seal[status] which V5 removed; provenance emits null,DEFECT,own re-derivation,evidence/cli_preflight/auditor_cli_preflight.json
BOUNDARY,outcome_boundary,no outcome-capable execution and no valid authorization,HELD,own re-derivation,evidence/OUTCOME_BOUNDARY_TALLY.json; COMMAND_LOG.txt
